Pno,GuiltMoreLikely,GuiltLessLikely,NoInformation_Evidence,InnocentUntilProvenGuilty,Confound,Other
1,Agreement,Agreement,Agreement,Disagreement,Agreement,Disagreement
3,Agreement,Disagreement,Agreement,Disagreement,Agreement,Agreement
4,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
6,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
7,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
8,Agreement,Disagreement,Agreement,Agreement,Agreement,Disagreement
9,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
10,Agreement,Disagreement,Agreement,Agreement,Agreement,Disagreement
11,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
12,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
13,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
14,Agreement,Disagreement,Agreement,Agreement,Agreement,Disagreement
15,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
17,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
18,Agreement,Disagreement,Agreement,Agreement,Agreement,Disagreement
19,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
21,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
23,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
24,Agreement,Disagreement,Agreement,Agreement,Agreement,Disagreement
25,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
26,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
27,Agreement,Disagreement,Agreement,Agreement,Agreement,Disagreement
29,Agreement,Disagreement,Agreement,Agreement,Agreement,Disagreement
30,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
31,Agreement,Disagreement,Agreement,Agreement,Agreement,Disagreement
33,Agreement,Disagreement,Agreement,Agreement,Agreement,Disagreement
34,Agreement,Agreement,Disagreement,Agreement,Agreement,Agreement
35,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
36,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
37,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
38,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
39,Agreement,Disagreement,Disagreement,Agreement,Agreement,Agreement
40,Agreement,Disagreement,Agreement,Disagreement,Agreement,Disagreement
42,Agreement,Agreement,Disagreement,Agreement,Agreement,Agreement
44,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
45,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
46,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
47,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
48,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
49,Agreement,Agreement,Disagreement,Agreement,Agreement,Disagreement
50,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
51,Agreement,Disagreement,Agreement,Agreement,Agreement,Disagreement
52,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
53,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
54,Agreement,Disagreement,Agreement,Agreement,Agreement,Disagreement
55,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
56,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
57,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
58,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
59,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
60,Agreement,Agreement,Disagreement,Agreement,Agreement,Agreement
61,Agreement,Agreement,Agreement,Disagreement,Agreement,Disagreement
62,Agreement,Agreement,Disagreement,Agreement,Agreement,Agreement
63,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
64,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
65,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
66,Agreement,Disagreement,Agreement,Agreement,Agreement,Disagreement
67,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
68,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
69,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
70,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
71,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
72,Agreement,Disagreement,Agreement,Agreement,Agreement,Agreement
73,Agreement,Agreement,Disagreement,Agreement,Agreement,Agreement
74,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
76,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
77,Agreement,Disagreement,Agreement,Agreement,Agreement,Disagreement
78,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
79,Agreement,Disagreement,Disagreement,Agreement,Agreement,Disagreement
80,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
81,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
82,Agreement,Disagreement,Agreement,Agreement,Agreement,Disagreement
83,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
84,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
85,Agreement,Disagreement,Disagreement,Agreement,Agreement,Agreement
86,Agreement,Disagreement,Agreement,Agreement,Agreement,Disagreement
87,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
