Pno,GuiltMoreLikely,GuiltLessLikely,NoInformation_Evidence,InnocentUntilProvenGuilty,Confound,Other
1,Agreement,Agreement,Agreement,Agreement,Agreement,Disagreement
3,Agreement,Disagreement,Disagreement,Disagreement,Agreement,Agreement
4,Agreement,Disagreement,Agreement,Agreement,Agreement,Agreement
6,Agreement,Disagreement,Agreement,Agreement,Agreement,Disagreement
7,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
8,Agreement,Agreement,Agreement,Agreement,Agreement,Disagreement
9,Agreement,Disagreement,Agreement,Agreement,Agreement,Agreement
10,Disagreement,Agreement,Agreement,Agreement,Agreement,Disagreement
11,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
12,Agreement,Disagreement,Agreement,Agreement,Agreement,Agreement
13,Agreement,Agreement,Agreement,Agreement,Disagreement,Disagreement
14,Agreement,Agreement,Agreement,Agreement,Agreement,Disagreement
15,Disagreement,Disagreement,Agreement,Agreement,Agreement,Agreement
17,Agreement,Agreement,Agreement,Agreement,Agreement,Disagreement
18,Agreement,Disagreement,Agreement,Agreement,Agreement,Disagreement
19,Agreement,Disagreement,Agreement,Agreement,Agreement,Agreement
21,Agreement,Disagreement,Agreement,Agreement,Agreement,Agreement
23,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
24,Agreement,Agreement,Agreement,Agreement,Agreement,Disagreement
25,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
26,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
27,Agreement,Disagreement,Agreement,Disagreement,Agreement,Disagreement
29,Agreement,Agreement,Agreement,Agreement,Agreement,Disagreement
30,Agreement,Disagreement,Agreement,Disagreement,Agreement,Agreement
31,Agreement,Disagreement,Agreement,Agreement,Agreement,Disagreement
33,Agreement,Agreement,Agreement,Agreement,Agreement,Disagreement
34,Agreement,Disagreement,Disagreement,Agreement,Agreement,Agreement
35,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
36,Agreement,Disagreement,Agreement,Agreement,Agreement,Agreement
37,Agreement,Agreement,Agreement,Agreement,Agreement,Disagreement
38,Agreement,Disagreement,Agreement,Agreement,Agreement,Agreement
39,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
40,Agreement,Agreement,Agreement,Disagreement,Agreement,Disagreement
42,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
44,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
45,Agreement,Disagreement,Agreement,Agreement,Agreement,Agreement
46,Agreement,Agreement,Agreement,Agreement,Agreement,Disagreement
47,Agreement,Disagreement,Agreement,Agreement,Agreement,Agreement
48,Agreement,Agreement,Agreement,Agreement,Agreement,Disagreement
49,Agreement,Agreement,Agreement,Agreement,Agreement,Disagreement
50,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
51,Agreement,Agreement,Agreement,Agreement,Agreement,Disagreement
52,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
53,Agreement,Agreement,Disagreement,Disagreement,Agreement,Agreement
54,Agreement,Agreement,Agreement,Agreement,Agreement,Disagreement
55,Agreement,Agreement,Disagreement,Agreement,Agreement,Agreement
56,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
57,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
58,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
59,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
60,Agreement,Disagreement,Disagreement,Agreement,Agreement,Agreement
61,Agreement,Agreement,Agreement,Agreement,Agreement,Disagreement
62,Agreement,Disagreement,Agreement,Agreement,Agreement,Agreement
63,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
64,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
65,Agreement,Agreement,Disagreement,Agreement,Agreement,Agreement
66,Agreement,Agreement,Agreement,Agreement,Agreement,Disagreement
67,Agreement,Agreement,Agreement,Disagreement,Agreement,Agreement
68,Agreement,Agreement,Agreement,Agreement,Agreement,Agreement
