Run,Code,N,TP,FP,FN,TN,Human Yes %,Model Yes %,Cohen kappa,Kappa CI lo,Kappa CI hi,McNemar p,McNemar p (FDR)
single_label,GuiltMoreLikely,346,58,57,1,230,17.05,33.24,0.5696701977098255,0.4674218713773295,0.6599435945645671,4.0939474033052647e-16,6.140921104957897e-16
single_label,GuiltLessLikely,346,31,148,0,167,8.96,51.73,0.1681881680257301,0.11370653146457316,0.22749945915876085,5.605193857299268e-45,3.363116314379561e-44
single_label,NoInformation_Evidence,346,84,90,2,170,24.86,50.29,0.4697494669509594,0.39210892033596323,0.5516497063360399,1.7282743364816433e-24,3.4565486729632865e-24
single_label,InnocentUntilProvenGuilty,346,9,138,0,199,2.6,42.49,0.06978375219170063,0.02874466651695473,0.11864926221255305,5.739718509874451e-42,1.7219155529623352e-41
single_label,Confound,346,5,47,17,277,6.36,15.03,0.05026591182020934,-0.049962692182079264,0.1653264715342554,0.0002268823828832806,0.0002722588594599367
single_label,Other,346,62,102,77,105,40.17,47.4,-0.045370151571414,-0.15422268414523765,0.061812595310028425,0.07254166975912647,0.07254166975912647
original,GuiltMoreLikely,346,54,42,5,245,17.05,27.75,0.615573731738452,0.5137749720638607,0.7145433584368288,2.4579776436439715e-8,4.915955287287943e-8
original,GuiltLessLikely,346,19,33,12,282,8.96,15.03,0.38926806307366446,0.24563610784181156,0.5305779755725906,0.002458900322096724,0.0029506803865160685
original,NoInformation_Evidence,346,79,44,7,216,24.86,35.55,0.6550686109699363,0.5632912981361208,0.7399513971284319,1.2115257419509362e-7,1.8172886129264043e-7
original,InnocentUntilProvenGuilty,346,8,43,1,294,2.6,14.74,0.23273863521822402,0.09608456798081781,0.3732497796925487,5.115907697472721e-12,1.5347723092418164e-11
original,Confound,346,4,7,18,317,6.36,3.18,0.20888970184744826,0.024305980469306324,0.41123085649461144,0.043285250663757324,0.043285250663757324
original,Other,346,10,1,129,206,40.17,3.18,0.07907129110192057,0.03167282201309686,0.13080173959948638,1.924871999471496e-37,1.1549231996828975e-36
shuffle_1,GuiltMoreLikely,346,49,41,10,246,17.05,26.01,0.5689158157033273,0.4546328671221713,0.6712321534192448,0.000014737715885004832,0.000022106573827507248
shuffle_1,GuiltLessLikely,346,8,12,23,303,8.96,5.78,0.2618554187492381,0.09001998607961442,0.4307220877150586,0.08953107893466952,0.10743729472160342
shuffle_1,NoInformation_Evidence,346,78,53,8,207,24.86,37.86,0.5983634633682207,0.5114475750357239,0.6828844432264005,2.98644165040024e-9,5.97288330080048e-9
shuffle_1,InnocentUntilProvenGuilty,346,9,97,0,240,2.6,30.64,0.1140383295496541,0.04784191941592866,0.18842845973416733,1.262177448353619e-29,7.573064690121713e-29
shuffle_1,Confound,346,9,17,13,307,6.36,7.51,0.32876357992757377,0.13866384128081,0.5025507010815063,0.5846647117286922,0.5846647117286922
shuffle_1,Other,346,26,17,113,190,40.17,12.43,0.11835038613822568,0.035498227810724425,0.20186285813645297,1.4043782690503998e-18,4.2131348071512e-18
shuffle_2,GuiltMoreLikely,346,51,41,8,246,17.05,26.59,0.5903841507610534,0.4812587221807158,0.687956573400349,1.9646537765538596e-6,2.3575845318646313e-6
shuffle_2,GuiltLessLikely,346,24,61,7,254,8.96,24.57,0.3251878621006138,0.20866133754106073,0.43729529219448504,7.387402755493211e-12,4.4324416532959265e-11
shuffle_2,NoInformation_Evidence,346,79,51,7,209,24.86,37.57,0.6168474110279517,0.5276439187129079,0.7022056755101099,2.4021645783633976e-9,4.804329156726795e-9
shuffle_2,InnocentUntilProvenGuilty,346,9,33,0,304,2.6,12.14,0.32397868561278875,0.15318292869900985,0.48081132807656746,2.3283064365386963e-10,6.984919309616089e-10
shuffle_2,Confound,346,4,2,18,322,6.36,1.73,0.2657045840407469,0.055461206153726746,0.48319641523525014,0.0004024505615234375,0.0004024505615234375
shuffle_2,Other,346,47,32,92,175,40.17,22.83,0.19754610406613549,0.09926472433835987,0.2974309008328099,6.528097537856775e-8,9.792146306785162e-8
shuffle_3,GuiltMoreLikely,346,46,38,13,249,17.05,24.28,0.5540110195622505,0.43760554553728176,0.6584870726183174,0.0006210434562277101,0.000745252147473252
shuffle_3,GuiltLessLikely,346,3,4,28,311,8.96,2.02,0.12914896963976708,-0.02105770436747707,0.2942851718112127,0.000019301194697618484,0.000028951792046427727
shuffle_3,NoInformation_Evidence,346,84,103,2,157,24.86,54.05,0.41679776543487324,0.3408208115208739,0.4950168581880065,2.744249874037595e-28,1.646549924422557e-27
shuffle_3,InnocentUntilProvenGuilty,346,8,30,1,307,2.6,10.98,0.3114648863782258,0.13193624557260908,0.4812364044235282,2.9802322387695312e-8,5.960464477539063e-8
shuffle_3,Confound,346,4,3,18,321,6.36,2.02,0.25293028994447875,0.046926222702644495,0.463223215915313,0.0014896392822265625,0.0014896392822265625
shuffle_3,Other,346,42,22,97,185,40.17,18.5,0.21492582847118946,0.1208219471396347,0.3108071497217305,1.991875405620296e-12,5.975626216860888e-12
