Run,Code,N,TP,FP,FN,TN,Human Yes %,Model Yes %,Cohen kappa,Kappa CI lo,Kappa CI hi,McNemar p,McNemar p (FDR)
single_label,GuiltMoreLikely,346,38,21,21,266,17.05,17.05,0.5708970649028524,0.4456836799794365,0.677908356969622,1.0,1.0
single_label,GuiltLessLikely,346,15,21,16,294,8.96,10.4,0.388926014319809,0.2269407294764161,0.5434490868430129,0.5113757815852296,0.6136509379022754
single_label,NoInformation_Evidence,346,22,7,64,253,24.86,8.38,0.29412102752715363,0.1815676260857924,0.40250572041409133,1.2596743309903347e-12,3.779022992971004e-12
single_label,InnocentUntilProvenGuilty,346,2,3,7,334,2.6,1.45,0.27219183845183004,-0.01601708489054987,0.5627770646028936,0.34375,0.515625
single_label,Confound,346,1,0,21,324,6.36,0.29,0.0818802122820318,0.0,0.25929209225023253,9.5367431640625e-7,1.9073486328125e-6
single_label,Other,346,0,0,139,207,40.17,0.0,0.0,0.0,0.0,2.8698592549372254e-42,1.7219155529623352e-41
original,GuiltMoreLikely,346,43,12,16,275,17.05,15.9,0.7060144443770104,0.5875615676102646,0.8045672048148454,0.5715881884098053,0.5715881884098053
original,GuiltLessLikely,346,9,6,22,309,8.96,4.34,0.3535299612972108,0.15358491653392242,0.5234880348380814,0.0037191659212112427,0.005578748881816864
original,NoInformation_Evidence,346,61,16,25,244,24.86,22.25,0.6712703341521065,0.5766111617640002,0.7625244608391158,0.21102359760880063,0.25322831713056076
original,InnocentUntilProvenGuilty,346,6,18,3,319,2.6,6.94,0.33861277990169314,0.10891366224921112,0.5350423816415133,0.0014896392822265625,0.002979278564453125
original,Confound,346,0,0,22,324,6.36,0.0,0.0,0.0,0.0,4.76837158203125e-7,1.430511474609375e-6
original,Other,346,31,21,108,186,40.17,15.03,0.13550261475886105,0.04750833377749896,0.22360899909549226,2.667293660294377e-15,1.6003761961766262e-14
shuffle_1,GuiltMoreLikely,346,15,5,44,282,17.05,5.78,0.32113397933851207,0.17892003223784358,0.45892236062098557,7.59715845788378e-9,1.1395737686825669e-8
shuffle_1,GuiltLessLikely,346,0,0,31,315,8.96,0.0,0.0,0.0,0.0,9.313225746154785e-10,1.862645149230957e-9
shuffle_1,NoInformation_Evidence,346,55,27,31,233,24.86,23.7,0.5441577321461022,0.43508297211479646,0.6464755699550172,0.6940040940761318,0.6940040940761318
shuffle_1,InnocentUntilProvenGuilty,346,8,69,1,268,2.6,22.25,0.1462812830454705,0.05326139329399938,0.24495083298575193,1.2027867851011065e-19,7.216720710606639e-19
shuffle_1,Confound,346,0,3,22,321,6.36,0.87,-0.015496595444939976,-0.03000714455822817,0.0,0.00015652179718017578,0.00018782615661621093
shuffle_1,Other,346,21,25,118,182,40.17,13.29,0.03404787005583543,-0.04481500076086471,0.1164982693947954,1.200550102131926e-15,3.601650306395778e-15
shuffle_2,GuiltMoreLikely,346,25,6,34,281,17.05,8.96,0.4963976420930064,0.3558585220199907,0.6170603028095653,8.364584573428147e-6,0.000016729169146856293
shuffle_2,GuiltLessLikely,346,7,7,24,308,8.96,4.05,0.2704393960005441,0.08682395504491028,0.4458828239690378,0.003326892852783203,0.004990339279174805
shuffle_2,NoInformation_Evidence,346,66,34,20,226,24.86,28.9,0.6037831877173636,0.5074514750913764,0.6971205126397932,0.0759047294891014,0.09108567538692168
shuffle_2,InnocentUntilProvenGuilty,346,4,3,5,334,2.6,2.02,0.4883548983364141,0.1182982080936538,0.744177449168207,0.7265625,0.7265625
shuffle_2,Confound,346,0,0,22,324,6.36,0.0,0.0,0.0,0.0,4.76837158203125e-7,1.430511474609375e-6
shuffle_2,Other,346,25,14,114,193,40.17,11.27,0.12726126197138699,0.048159248854951556,0.2085756093342798,1.162068542288481e-20,6.972411253730887e-20
shuffle_3,GuiltMoreLikely,346,20,9,39,278,17.05,8.38,0.385480648264634,0.24464162930587782,0.5176189011593236,0.000015221826110689564,0.00003044365222137913
shuffle_3,GuiltLessLikely,346,1,1,30,314,8.96,0.58,0.050292190543651416,-0.01572656741455236,0.17697431018078025,2.9802322387695312e-8,8.940696716308594e-8
shuffle_3,NoInformation_Evidence,346,67,41,19,219,24.86,31.21,0.5723819724808437,0.47710247531311445,0.6661735629597813,0.0062176026593266705,0.007461123191192004
shuffle_3,InnocentUntilProvenGuilty,346,5,6,4,331,2.6,3.18,0.48527224040464145,0.15186738792433274,0.7214467799207417,0.75390625,0.75390625
shuffle_3,Confound,346,0,3,22,321,6.36,0.87,-0.015496595444939976,-0.03000714455822817,0.0,0.00015652179718017578,0.00023478269577026367
shuffle_3,Other,346,47,24,92,183,40.17,20.52,0.24160084652885372,0.14228828557903753,0.3372304087273947,1.4181822700488308e-10,8.509093620292985e-10
