Pno,GuiltMoreLikely,GuiltLessLikely,NoInformation_Evidence,InnocentUntilProvenGuilty,Confound,Other
1,No,No,No,Yes,No,Yes
3,No,Yes,No,Yes,No,No
4,No,No,No,Yes,No,No
6,No,No,Yes,No,No,No
7,No,Yes,No,No,No,No
8,No,Yes,No,No,No,No
9,Yes,No,No,No,No,No
10,No,Yes,No,No,No,No
11,No,Yes,No,No,No,No
12,No,Yes,No,No,No,No
13,Yes,No,No,No,No,No
14,No,No,No,No,No,No
15,No,Yes,No,No,No,No
17,No,No,No,Yes,No,No
18,No,Yes,No,No,No,No
19,No,Yes,No,No,No,No
21,No,Yes,No,Yes,No,No
23,No,Yes,No,No,No,No
24,No,Yes,No,No,No,No
25,No,Yes,No,No,No,No
26,No,Yes,No,No,No,No
27,No,Yes,No,No,No,No
29,No,Yes,No,No,No,No
30,No,No,Yes,No,No,No
31,Yes,No,No,No,No,No
33,No,No,No,No,No,No
34,No,No,Yes,No,No,No
35,No,No,Yes,No,No,No
36,No,Yes,No,No,No,No
37,No,No,No,No,No,Yes
38,No,Yes,No,No,No,No
39,No,No,Yes,No,No,No
40,No,Yes,No,Yes,No,No
42,No,No,Yes,No,No,No
44,No,Yes,No,No,No,No
45,No,Yes,No,No,No,No
46,No,No,No,Yes,No,No
47,No,No,No,Yes,No,No
48,Yes,No,No,No,No,No
49,No,No,Yes,No,No,No
50,No,No,No,No,No,Yes
51,No,No,No,Yes,No,No
52,No,No,Yes,No,No,No
53,No,Yes,Yes,No,No,No
54,No,No,No,Yes,No,No
55,No,No,No,Yes,No,No
56,No,No,Yes,No,No,No
57,No,Yes,No,No,No,No
58,No,No,Yes,No,No,No
59,No,No,Yes,No,No,No
60,No,No,Yes,No,No,No
61,No,Yes,No,Yes,No,No
62,No,No,Yes,No,No,No
63,No,No,Yes,No,No,No
64,No,No,Yes,No,No,No
65,No,No,No,No,No,No
66,No,No,No,Yes,No,No
67,No,No,No,Yes,No,No
68,No,No,Yes,No,No,No
69,No,No,Yes,No,No,No
70,No,No,Yes,No,No,No
71,No,No,Yes,No,No,No
72,No,No,Yes,No,No,No
73,No,Yes,No,No,No,No
74,No,No,Yes,No,No,No
76,No,No,Yes,No,No,No
77,No,Yes,No,No,No,No
78,No,No,Yes,No,No,No
79,No,Yes,Yes,Yes,No,No
80,No,No,Yes,No,No,No
81,Yes,No,No,No,No,No
82,No,No,Yes,No,No,No
83,No,Yes,No,No,No,No
84,No,No,Yes,No,No,No
85,No,Yes,No,No,No,No
86,No,No,Yes,No,No,No
87,No,Yes,No,No,No,No
88,No,No,No,Yes,No,No
89,No,No,No,Yes,No,No
90,Yes,No,No,No,No,No
91,Yes,No,No,No,No,No
92,No,No,No,No,No,No
93,No,No,No,No,No,No
94,No,No,Yes,No,No,No
95,No,No,No,No,No,No
96,Yes,No,No,Yes,No,No
97,No,No,Yes,No,No,No
98,Yes,No,No,No,No,No
99,No,No,Yes,No,No,No
100,No,No,Yes,No,No,No
101,No,Yes,No,No,No,No
102,No,No,No,No,No,No
103,No,No,Yes,No,No,No
105,No,No,No,Yes,No,No
106,No,No,No,Yes,No,No
108,No,No,Yes,No,No,No
109,No,No,Yes,No,No,No
110,No,Yes,No,No,No,No
111,No,No,Yes,No,No,No
112,No,No,Yes,No,No,No
113,No,No,No,Yes,No,No
114,No,Yes,No,No,No,No
115,No,Yes,Yes,Yes,No,No
116,No,No,Yes,No,No,No
117,No,Yes,Yes,Yes,No,No
118,No,No,Yes,No,No,No
119,No,No,Yes,No,No,No
120,Yes,No,No,No,No,No
121,Yes,No,No,No,No,No
122,Yes,No,No,No,No,No
123,Yes,No,No,No,No,No
124,Yes,No,No,No,No,No
125,Yes,No,No,No,No,No
126,No,No,No,No,No,No
127,Yes,No,Yes,No,No,No
128,Yes,No,No,No,No,No
129,Yes,No,No,No,No,No
130,Yes,No,No,No,No,No
131,Yes,No,No,No,No,No
132,No,No,Yes,No,No,No
133,No,Yes,No,No,No,No
134,Yes,No,No,No,No,No
135,Yes,No,No,No,No,No
136,No,No,Yes,No,No,No
137,Yes,No,No,No,No,No
138,Yes,No,No,No,No,No
139,Yes,No,No,No,No,No
140,Yes,No,No,No,No,No
141,Yes,No,No,No,No,No
142,Yes,No,No,No,No,No
143,Yes,No,No,No,No,No
144,Yes,No,No,No,No,No
145,Yes,No,No,No,No,No
146,Yes,No,No,No,No,No
147,Yes,No,No,No,No,No
148,Yes,No,No,No,No,No
149,Yes,No,No,No,No,No
150,Yes,No,No,No,No,No
151,Yes,No,No,No,No,No
152,Yes,No,No,No,No,No
153,Yes,No,No,No,No,No
154,Yes,No,No,No,No,No
155,Yes,No,No,No,No,No
156,No,No,No,No,Yes,No
157,No,No,No,No,No,No
158,No,No,No,No,No,No
159,Yes,No,No,No,No,No
160,Yes,No,No,No,No,No
161,Yes,No,No,No,No,No
162,Yes,No,No,No,No,No
163,Yes,No,No,No,No,No
164,Yes,No,No,No,No,No
165,Yes,No,No,No,No,No
166,Yes,No,No,No,No,No
167,Yes,No,No,No,No,No
168,Yes,No,No,No,No,No
169,Yes,No,No,No,No,No
170,No,No,No,No,No,Yes
171,Yes,No,No,No,No,No
172,Yes,No,No,No,No,No
173,Yes,No,No,No,No,No
174,No,No,No,Yes,No,No
175,No,No,Yes,No,No,No
176,Yes,No,No,No,No,No
177,Yes,No,No,No,No,No
178,Yes,No,No,No,No,No
179,Yes,No,No,No,No,No
180,Yes,No,No,No,No,No
