Pno,Confound,Other,GuiltMoreLikely,GuiltLessLikely,NoInformation_Evidence,InnocentUntilProvenGuilty
1,No,Yes,No,No,No,Yes
3,No,No,No,No,Yes,Yes
4,No,No,No,No,No,Yes
6,No,No,No,No,No,Yes
7,No,No,No,No,No,Yes
8,No,No,No,No,No,Yes
9,No,No,Yes,No,No,No
10,No,No,No,Yes,No,No
11,No,No,No,No,No,Yes
12,No,No,No,Yes,No,No
13,Yes,No,Yes,No,No,No
14,No,No,No,No,No,No
15,No,No,No,Yes,No,No
17,No,No,No,No,No,Yes
18,No,No,No,No,No,Yes
19,No,No,No,No,No,Yes
21,No,No,No,No,No,Yes
23,No,No,No,Yes,No,Yes
24,No,Yes,No,Yes,No,Yes
25,No,No,No,Yes,No,Yes
26,No,No,No,Yes,No,Yes
27,No,No,No,No,Yes,No
29,No,No,No,No,No,Yes
30,No,No,No,No,Yes,No
31,No,No,No,Yes,No,No
33,No,Yes,No,No,No,No
34,No,No,No,No,Yes,No
35,No,No,No,No,Yes,No
36,No,No,No,No,No,Yes
37,No,No,No,No,Yes,No
38,No,No,No,No,Yes,Yes
39,No,No,No,No,Yes,No
40,No,Yes,No,Yes,Yes,Yes
42,No,No,No,No,Yes,No
44,No,No,No,Yes,No,No
45,No,No,Yes,No,No,Yes
46,No,No,No,No,Yes,No
47,No,No,No,No,No,Yes
48,No,No,Yes,No,No,No
49,No,Yes,No,No,Yes,No
50,No,Yes,No,No,No,No
51,No,Yes,No,No,No,No
52,No,No,No,No,Yes,No
53,No,No,No,No,Yes,No
54,No,No,No,No,No,Yes
55,No,No,No,No,No,Yes
56,No,No,No,No,Yes,No
57,No,No,Yes,No,No,Yes
58,No,No,No,No,Yes,No
59,No,No,No,No,Yes,No
60,No,No,No,No,Yes,No
61,No,No,No,No,No,Yes
62,No,No,No,No,Yes,No
63,No,No,No,No,Yes,No
64,No,No,No,No,Yes,No
65,No,No,No,No,Yes,No
66,No,No,No,No,No,Yes
67,No,No,No,No,No,Yes
68,No,No,No,No,Yes,No
69,No,Yes,No,No,Yes,Yes
70,No,No,No,No,Yes,No
71,No,No,No,No,Yes,No
72,No,No,No,No,Yes,No
73,No,No,No,Yes,Yes,No
74,No,No,No,No,Yes,No
76,No,No,No,No,Yes,No
77,No,No,No,No,No,No
78,No,No,No,No,Yes,No
79,No,Yes,No,No,Yes,Yes
80,No,No,No,No,Yes,No
81,Yes,No,No,No,No,No
82,No,No,No,No,Yes,No
83,No,No,No,No,Yes,No
84,No,Yes,No,Yes,Yes,Yes
85,No,No,No,No,No,Yes
86,No,No,No,No,Yes,No
87,No,No,No,Yes,Yes,Yes
88,No,No,No,No,No,Yes
89,No,No,No,No,No,Yes
90,No,No,Yes,No,No,No
91,No,No,Yes,No,No,No
92,No,No,No,No,No,Yes
93,No,No,No,No,No,No
94,No,No,No,No,Yes,No
95,No,Yes,No,No,No,No
96,No,No,Yes,No,No,Yes
97,No,No,No,No,Yes,No
98,Yes,No,Yes,No,No,Yes
99,No,No,No,No,Yes,No
100,No,Yes,No,No,Yes,No
101,No,No,No,No,No,Yes
102,No,No,No,No,Yes,No
103,No,No,No,No,No,Yes
105,No,No,No,No,No,Yes
106,No,No,Yes,No,No,Yes
108,No,No,No,No,Yes,No
109,No,Yes,No,No,Yes,No
110,No,No,No,No,No,Yes
111,No,No,No,No,Yes,No
112,No,No,No,No,No,Yes
113,No,No,No,No,No,Yes
114,No,No,No,No,Yes,No
115,No,No,No,No,Yes,Yes
116,No,No,No,No,Yes,No
117,No,No,No,No,Yes,No
118,No,No,No,No,Yes,No
119,No,Yes,No,No,Yes,No
120,No,No,Yes,No,No,No
121,Yes,No,Yes,No,No,No
122,No,No,Yes,No,No,No
123,Yes,No,Yes,No,No,Yes
124,No,No,Yes,No,No,No
125,No,No,Yes,No,No,No
126,No,No,No,No,No,No
127,No,No,No,No,Yes,No
128,No,No,Yes,No,No,No
129,No,No,Yes,No,No,No
130,No,No,Yes,No,No,No
131,No,No,No,No,No,Yes
132,No,No,No,No,Yes,No
133,No,No,No,Yes,No,No
134,Yes,No,Yes,No,No,No
135,No,No,Yes,No,No,No
136,No,No,No,No,Yes,No
137,Yes,No,Yes,No,No,No
138,No,No,Yes,No,No,No
139,No,No,Yes,No,No,No
140,No,No,Yes,No,No,No
141,No,No,Yes,No,No,No
142,No,No,Yes,No,No,No
143,No,No,No,No,Yes,No
144,No,No,Yes,No,No,No
145,No,Yes,Yes,No,Yes,Yes
146,No,No,Yes,No,No,No
147,No,No,Yes,No,No,No
148,Yes,No,Yes,No,No,No
149,No,No,No,No,No,Yes
150,No,No,Yes,No,No,No
151,No,No,Yes,No,No,No
152,Yes,No,Yes,No,No,No
153,No,No,Yes,No,No,No
154,No,No,Yes,No,No,No
155,No,No,Yes,No,No,No
156,No,No,No,No,No,No
157,No,No,Yes,No,No,No
158,No,No,No,No,No,No
159,No,No,Yes,No,No,No
160,No,No,Yes,No,No,No
161,Yes,No,Yes,No,No,No
162,No,No,Yes,No,No,No
163,No,No,Yes,No,No,No
164,Yes,No,Yes,No,No,No
165,No,No,Yes,No,No,No
166,No,No,Yes,No,No,No
167,No,No,Yes,No,No,Yes
168,No,No,Yes,No,No,No
169,No,No,Yes,No,No,No
170,No,Yes,No,No,No,No
171,No,No,Yes,No,No,No
172,No,No,Yes,No,No,No
173,No,No,Yes,No,No,No
174,No,No,No,No,No,Yes
175,No,No,No,No,Yes,No
176,No,No,Yes,No,No,No
177,No,No,Yes,No,No,No
178,No,No,Yes,No,No,No
179,No,No,Yes,No,No,No
180,No,No,No,Yes,Yes,Yes
181,No,No,Yes,No,No,No
182,No,No,Yes,No,No,No
183,No,No,No,No,No,No
184,No,No,Yes,No,No,No
185,No,No,No,No,No,Yes
186,No,No,No,No,No,Yes
187,No,No,No,Yes,No,No
188,No,Yes,No,No,No,No
190,No,No,No,Yes,No,Yes
191,No,No,No,No,No,Yes
192,No,Yes,No,No,Yes,Yes
193,Yes,No,No,No,No,No
194,No,No,No,No,No,No
195,No,No,No,No,No,No
196,No,No,No,Yes,No,No
197,No,No,No,No,No,Yes
198,No,No,No,No,No,Yes
199,No,No,No,No,Yes,No
200,No,No,No,No,No,No
201,No,No,No,No,No,Yes
202,No,No,No,No,No,No
203,No,No,No,No,No,Yes
204,No,Yes,No,No,No,No
205,No,Yes,No,No,No,Yes
206,No,No,No,No,No,Yes
207,No,No,No,No,Yes,No
208,No,No,No,No,Yes,No
209,No,No,No,No,Yes,No
210,No,No,No,No,Yes,No
211,No,No,No,No,Yes,No
212,No,No,No,No,No,Yes
213,No,No,No,No,Yes,No
214,No,No,No,No,Yes,No
215,No,Yes,No,No,No,No
216,No,No,No,No,Yes,No
217,No,Yes,No,No,Yes,No
218,No,No,No,No,Yes,No
219,No,Yes,No,No,No,No
220,No,No,No,No,Yes,No
221,No,Yes,No,No,Yes,No
222,No,Yes,No,No,Yes,No
223,No,No,No,No,Yes,No
224,No,No,No,No,Yes,No
225,No,No,No,No,Yes,No
226,No,Yes,No,No,Yes,No
227,No,No,No,No,No,Yes
228,No,No,No,No,Yes,No
229,No,No,No,No,Yes,No
230,No,No,No,No,Yes,No
231,No,No,No,No,Yes,No
232,No,No,No,No,No,Yes
233,Yes,No,Yes,No,No,Yes
234,No,No,No,No,Yes,No
235,No,Yes,No,No,Yes,No
236,No,No,No,No,Yes,No
237,No,Yes,No,No,Yes,Yes
238,No,No,No,No,No,Yes
239,No,No,No,No,Yes,No
240,No,Yes,No,No,Yes,No
241,No,No,No,No,Yes,No
242,No,No,No,No,Yes,No
243,No,No,No,No,Yes,No
244,No,Yes,No,No,No,No
245,No,No,No,No,Yes,No
246,No,No,No,No,Yes,No
247,No,No,No,No,No,Yes
248,No,No,No,No,No,Yes
250,No,No,No,No,No,Yes
251,No,No,No,No,Yes,No
252,No,No,No,No,Yes,No
253,No,No,Yes,No,No,No
254,No,No,No,No,No,Yes
255,No,No,No,Yes,No,Yes
256,No,No,No,No,No,Yes
257,No,No,No,Yes,No,Yes
258,No,Yes,No,No,No,No
259,No,No,No,No,No,Yes
260,No,No,No,No,Yes,No
261,No,No,No,No,No,Yes
262,No,No,No,No,Yes,No
263,No,No,Yes,No,No,No
264,No,No,No,No,No,Yes
265,No,No,No,No,Yes,Yes
266,No,No,No,No,No,Yes
267,No,No,Yes,No,No,No
268,No,No,No,No,No,Yes
269,No,Yes,No,No,Yes,No
270,No,No,No,No,No,Yes
271,No,No,No,No,Yes,No
272,No,No,No,No,No,Yes
273,No,Yes,No,No,Yes,No
274,No,No,No,No,Yes,Yes
275,No,No,Yes,No,No,No
276,No,No,No,No,No,Yes
277,No,No,No,No,Yes,No
278,No,No,No,No,Yes,No
279,No,No,No,No,No,No
280,No,No,No,No,No,Yes
281,Yes,No,Yes,No,No,Yes
282,No,No,No,No,Yes,No
283,No,No,No,No,Yes,No
284,Yes,No,No,No,No,No
285,No,Yes,No,No,No,Yes
286,No,No,No,No,Yes,No
287,No,No,No,No,No,Yes
288,No,No,No,No,Yes,No
289,No,Yes,No,No,No,No
290,No,No,No,No,Yes,No
291,No,No,No,No,Yes,No
292,No,No,No,No,Yes,No
293,No,Yes,No,No,Yes,No
294,No,No,No,No,Yes,No
296,No,No,No,No,Yes,No
297,Yes,No,No,No,No,No
298,No,No,No,No,Yes,No
299,No,No,Yes,No,No,No
300,Yes,No,No,No,Yes,No
301,No,No,No,No,Yes,Yes
302,No,No,No,No,Yes,No
303,No,No,No,No,No,Yes
304,No,No,No,No,No,Yes
305,No,No,No,No,No,Yes
306,No,No,No,No,Yes,No
307,No,No,No,No,Yes,No
308,No,Yes,No,No,Yes,Yes
309,No,No,No,No,No,Yes
310,No,No,No,No,Yes,No
311,No,No,No,No,Yes,No
312,No,No,No,No,Yes,No
313,No,No,No,No,Yes,No
314,No,No,No,No,Yes,No
315,No,No,Yes,No,No,Yes
316,Yes,No,Yes,No,No,No
317,No,No,Yes,No,No,No
318,Yes,No,Yes,No,No,No
319,Yes,No,No,No,No,No
320,No,No,Yes,No,No,No
321,Yes,No,No,No,No,No
322,Yes,No,Yes,No,No,No
323,No,No,No,No,Yes,No
324,No,No,Yes,No,No,No
325,No,No,No,No,No,Yes
326,No,Yes,No,No,Yes,No
327,No,No,No,No,No,No
329,No,No,Yes,No,No,No
330,No,No,Yes,No,No,No
331,No,Yes,No,No,Yes,Yes
332,No,No,Yes,No,No,No
333,No,No,Yes,No,No,No
334,No,Yes,No,No,No,No
335,No,Yes,No,No,No,No
336,No,Yes,No,No,No,No
337,No,No,No,No,No,Yes
338,No,No,No,No,Yes,No
340,No,No,No,No,Yes,No
341,Yes,No,Yes,No,No,No
342,Yes,No,Yes,No,No,No
343,No,No,No,No,No,Yes
344,No,No,No,No,No,No
345,No,No,Yes,No,No,No
346,No,No,No,No,No,Yes
347,No,No,Yes,No,No,No
348,No,No,Yes,No,No,No
349,No,No,No,No,No,Yes
350,Yes,No,No,No,No,No
351,No,Yes,No,No,No,No
352,No,No,No,No,No,Yes
353,Yes,No,Yes,No,No,No
354,No,No,No,No,No,No
355,No,No,Yes,No,No,No
356,No,No,Yes,No,No,No
357,No,No,No,No,No,Yes
358,No,No,Yes,No,No,No
359,No,No,No,No,No,Yes
360,No,No,Yes,No,No,No
361,No,No,Yes,No,No,No
362,No,No,No,No,No,No
363,No,No,Yes,No,No,No
