Pno,NoInformation_Evidence,InnocentUntilProvenGuilty,Confound,Other,GuiltMoreLikely,GuiltLessLikely
1,No,Yes,No,Yes,No,Yes
3,No,Yes,No,No,No,No
4,No,No,No,No,No,Yes
6,Yes,No,No,Yes,No,Yes
7,No,No,No,No,No,Yes
8,No,No,No,No,No,Yes
9,No,No,No,No,No,Yes
10,No,No,No,No,No,Yes
11,No,No,No,No,No,Yes
12,No,No,No,No,No,Yes
13,No,No,No,No,No,Yes
14,No,No,No,Yes,No,Yes
15,No,No,No,No,No,Yes
17,No,No,No,Yes,No,No
18,No,No,No,No,No,Yes
19,No,No,No,Yes,No,Yes
21,No,No,No,No,No,Yes
23,No,No,No,No,No,Yes
24,Yes,No,No,Yes,No,Yes
25,No,No,No,No,No,Yes
26,No,No,No,No,No,Yes
27,No,No,No,No,No,Yes
29,No,No,No,No,No,Yes
30,Yes,Yes,No,No,Yes,No
31,No,No,No,No,No,Yes
33,No,No,No,Yes,No,Yes
34,Yes,No,No,No,No,No
35,Yes,No,No,No,No,No
36,No,No,No,No,No,Yes
37,Yes,No,No,Yes,No,No
38,No,No,No,No,No,Yes
39,Yes,No,No,No,No,Yes
40,Yes,Yes,No,Yes,No,Yes
42,Yes,No,No,Yes,No,Yes
44,No,No,No,No,No,Yes
45,No,No,No,No,No,Yes
46,No,Yes,No,No,No,Yes
47,No,No,No,Yes,No,No
48,No,No,No,No,Yes,No
49,Yes,No,No,No,No,No
50,Yes,No,No,Yes,No,No
51,Yes,Yes,No,Yes,No,Yes
52,Yes,No,No,No,No,No
53,Yes,No,No,Yes,No,No
54,No,No,No,No,No,Yes
55,No,No,No,Yes,No,No
56,Yes,No,No,No,No,No
57,No,No,No,No,No,Yes
58,Yes,No,No,No,No,No
59,Yes,No,No,No,No,No
60,Yes,No,No,No,No,No
61,No,Yes,No,Yes,No,Yes
62,Yes,No,No,No,No,No
63,Yes,No,No,No,No,No
64,Yes,No,No,No,No,No
65,Yes,No,No,No,No,No
66,No,No,No,No,No,Yes
67,No,Yes,No,No,No,No
68,Yes,No,No,No,No,No
69,Yes,No,No,No,No,No
70,Yes,No,No,No,No,No
71,Yes,No,No,No,No,Yes
72,Yes,No,No,Yes,No,Yes
73,No,No,No,No,No,Yes
74,Yes,No,No,No,No,No
76,Yes,No,No,No,No,No
77,No,No,No,No,No,Yes
78,No,Yes,No,No,No,Yes
79,Yes,Yes,No,Yes,No,No
80,Yes,No,No,No,No,No
81,Yes,No,No,No,No,No
82,Yes,No,No,No,No,Yes
83,No,No,No,Yes,No,Yes
84,Yes,Yes,No,Yes,No,Yes
85,No,No,No,Yes,No,Yes
86,Yes,No,No,No,No,Yes
87,No,No,No,No,No,Yes
88,No,Yes,No,No,No,No
89,No,Yes,No,No,No,No
90,No,No,No,No,Yes,No
91,No,No,No,No,Yes,No
92,No,No,No,No,No,No
93,No,No,No,No,No,No
94,Yes,No,No,No,No,Yes
95,Yes,No,No,No,No,No
96,Yes,Yes,No,Yes,No,No
97,Yes,No,No,No,No,No
98,No,No,No,Yes,No,No
99,Yes,No,No,No,No,No
100,Yes,No,No,No,No,No
101,No,Yes,No,No,No,Yes
102,No,No,No,No,No,Yes
103,Yes,No,No,Yes,No,Yes
105,Yes,Yes,No,Yes,No,No
106,No,Yes,No,Yes,No,No
108,Yes,No,No,No,No,No
109,Yes,No,No,No,No,No
110,No,Yes,No,No,No,Yes
111,Yes,No,No,No,No,No
112,No,No,No,Yes,No,Yes
113,No,Yes,No,No,No,No
114,Yes,No,No,No,No,No
115,No,Yes,No,No,No,No
116,Yes,No,No,No,No,No
117,Yes,No,No,No,No,No
118,Yes,No,No,No,No,No
119,Yes,No,No,No,No,No
120,No,No,No,No,Yes,No
121,No,No,No,No,Yes,No
122,No,No,No,No,Yes,No
123,No,No,No,No,Yes,No
124,No,No,No,No,Yes,No
125,No,No,No,No,Yes,No
126,No,No,No,Yes,No,No
127,Yes,No,No,No,Yes,No
128,Yes,No,No,No,Yes,No
129,No,No,No,No,Yes,No
130,No,No,No,No,Yes,No
131,No,No,No,No,Yes,No
132,No,No,No,No,No,Yes
133,No,No,No,No,No,Yes
134,No,No,No,No,No,Yes
135,No,No,No,No,Yes,No
136,Yes,No,No,No,No,No
137,No,No,No,No,Yes,No
138,No,No,No,No,Yes,No
139,No,No,No,No,No,Yes
140,No,No,No,No,Yes,No
141,No,No,No,No,Yes,No
142,No,No,No,No,Yes,No
143,No,No,No,No,Yes,No
144,No,No,No,No,Yes,No
145,Yes,No,No,Yes,Yes,No
146,No,No,No,No,Yes,No
147,No,No,No,No,Yes,No
148,No,No,No,No,Yes,No
149,No,No,No,Yes,No,No
150,No,No,No,No,Yes,No
151,No,No,No,No,Yes,No
152,No,No,No,No,Yes,No
153,No,No,No,No,Yes,No
154,No,No,No,No,Yes,No
155,No,No,No,No,Yes,No
156,No,No,No,Yes,No,No
157,No,No,No,No,Yes,No
158,No,No,No,Yes,No,No
159,No,No,No,No,Yes,No
160,No,No,No,No,Yes,No
161,No,No,No,No,Yes,No
162,No,No,No,No,Yes,No
163,No,No,No,No,Yes,No
164,No,No,No,No,Yes,No
165,No,No,No,No,Yes,No
166,No,No,No,No,Yes,No
167,No,No,No,No,Yes,No
168,No,No,No,No,Yes,No
169,No,No,No,No,Yes,No
170,No,No,No,Yes,No,No
171,No,No,No,No,Yes,No
172,No,No,No,Yes,No,No
173,No,No,No,No,Yes,No
174,No,Yes,No,No,No,No
175,No,No,No,Yes,No,Yes
176,No,No,No,No,Yes,No
177,No,No,No,No,Yes,No
178,No,No,No,No,Yes,No
179,No,No,No,No,Yes,No
180,No,No,No,No,No,Yes
181,No,No,No,No,Yes,No
182,No,No,No,No,Yes,No
183,No,No,No,No,No,Yes
184,No,No,No,No,Yes,No
185,No,Yes,No,No,No,No
186,No,No,No,No,No,Yes
187,No,No,No,No,No,Yes
188,No,No,No,Yes,No,No
190,No,No,No,No,No,Yes
191,No,No,No,No,No,Yes
192,Yes,Yes,No,No,No,No
193,No,No,Yes,No,No,No
194,No,No,No,Yes,No,No
195,No,No,No,Yes,No,No
196,No,No,No,No,No,Yes
197,No,No,No,No,No,Yes
198,No,Yes,No,Yes,No,No
199,Yes,No,No,No,No,No
200,No,No,No,Yes,Yes,No
201,No,No,No,Yes,No,Yes
202,No,No,No,Yes,No,No
203,No,No,No,No,No,Yes
204,No,No,No,Yes,No,No
