Pno,Other,Confound,InnocentUntilProvenGuilty,GuiltMoreLikely,GuiltLessLikely,NoInformation_Evidence
1,Yes,No,No,No,No,No
3,No,No,Yes,No,No,No
4,No,No,Yes,No,No,No
6,No,No,No,No,No,Yes
7,No,No,No,No,No,Yes
8,Yes,No,No,No,No,No
9,No,No,No,No,No,Yes
10,No,No,No,No,No,Yes
11,No,No,No,No,No,No
12,No,No,No,No,Yes,No
13,No,Yes,No,No,No,No
14,No,No,No,No,No,No
15,No,No,No,No,Yes,No
17,Yes,No,No,No,No,No
18,No,No,No,No,No,Yes
19,No,No,No,No,No,Yes
21,No,No,Yes,No,No,No
23,No,No,No,No,No,Yes
24,No,No,No,No,No,Yes
25,No,No,No,No,No,Yes
26,No,No,Yes,No,No,No
27,No,No,No,No,No,Yes
29,No,No,No,No,No,Yes
30,No,No,No,No,No,Yes
31,No,No,No,No,Yes,No
33,No,No,No,No,No,Yes
34,No,No,No,No,No,Yes
35,No,No,No,No,No,Yes
36,No,No,No,No,No,Yes
37,No,No,No,No,No,Yes
38,No,No,No,No,No,Yes
39,No,No,No,No,No,Yes
40,No,No,No,No,No,Yes
42,No,No,No,No,No,Yes
44,No,No,No,No,No,Yes
45,No,No,No,No,No,Yes
46,No,No,Yes,No,No,No
47,No,No,Yes,No,No,No
48,Yes,No,No,No,No,No
49,Yes,No,No,No,No,Yes
50,No,No,No,No,No,Yes
51,No,No,No,No,No,Yes
52,No,No,No,No,No,Yes
53,No,No,No,No,No,Yes
54,No,No,No,No,No,Yes
55,No,No,No,No,No,Yes
56,No,No,No,No,No,Yes
57,No,No,Yes,No,Yes,No
58,No,No,No,No,No,Yes
59,No,No,No,No,No,Yes
60,No,No,No,No,No,Yes
61,No,No,Yes,No,No,No
62,No,No,No,No,No,Yes
63,No,No,No,No,No,Yes
64,No,No,No,No,No,Yes
65,No,No,No,No,No,Yes
66,No,No,No,No,No,No
67,No,No,Yes,No,No,No
68,No,No,No,No,No,Yes
69,No,No,No,No,No,Yes
70,No,No,No,No,No,Yes
71,No,No,No,No,No,Yes
72,No,No,No,No,No,Yes
73,No,No,No,No,No,Yes
74,No,No,No,No,No,Yes
76,No,No,No,No,No,Yes
77,No,No,No,No,No,No
78,No,No,Yes,No,No,No
79,No,No,No,No,No,Yes
80,No,No,No,No,No,Yes
81,Yes,No,No,No,No,No
82,No,No,No,No,No,Yes
83,No,No,No,No,No,Yes
84,No,No,No,No,No,Yes
85,No,No,No,No,No,Yes
86,No,No,No,No,No,Yes
87,No,No,No,No,No,Yes
88,Yes,No,No,No,No,No
89,No,No,Yes,No,No,No
90,No,No,No,No,No,Yes
91,No,No,No,Yes,No,No
92,No,No,No,No,No,No
93,Yes,No,No,Yes,No,No
94,No,No,No,No,No,Yes
95,Yes,No,No,No,No,No
96,No,No,No,No,No,Yes
97,No,No,No,No,No,Yes
98,Yes,No,No,No,No,No
99,No,No,No,No,No,Yes
100,No,No,No,No,No,Yes
101,No,No,No,No,No,Yes
102,No,No,No,No,No,Yes
103,No,No,No,No,No,Yes
105,Yes,No,Yes,No,No,No
106,Yes,No,Yes,No,No,No
108,No,No,No,No,No,Yes
109,No,No,No,No,No,Yes
110,No,No,No,No,No,Yes
111,No,No,No,No,No,Yes
112,No,No,No,No,No,Yes
113,Yes,No,Yes,No,No,No
114,No,No,No,No,No,Yes
115,No,No,Yes,No,No,No
116,No,No,No,No,No,Yes
117,No,No,No,No,No,Yes
118,No,No,No,No,No,Yes
119,Yes,No,No,No,No,No
120,No,No,No,Yes,No,No
121,Yes,No,No,Yes,No,No
122,No,No,No,Yes,No,No
123,Yes,No,No,Yes,No,No
124,No,No,No,Yes,No,No
125,No,No,No,Yes,No,No
126,Yes,No,No,Yes,No,No
127,No,No,No,No,No,Yes
128,No,No,No,No,No,Yes
129,No,No,No,Yes,No,No
130,No,No,No,Yes,No,No
131,No,No,Yes,No,No,No
132,No,No,No,No,No,Yes
133,No,No,No,No,No,Yes
134,No,No,No,No,No,Yes
135,No,No,No,Yes,No,No
136,No,No,No,No,No,Yes
137,No,No,No,Yes,No,No
138,No,No,No,Yes,No,No
139,No,No,No,No,No,Yes
140,No,No,No,No,No,Yes
141,No,No,No,Yes,No,No
142,No,No,No,Yes,No,No
143,No,No,No,No,No,Yes
