Pno,n_labels,n_correct,n_incorrect,percent_correct
1,6,5,1,0.8333333333333334
3,6,3,3,0.5
4,6,5,1,0.8333333333333334
6,6,5,1,0.8333333333333334
7,6,5,1,0.8333333333333334
8,6,5,1,0.8333333333333334
9,6,4,2,0.6666666666666666
10,6,4,2,0.6666666666666666
11,6,4,2,0.6666666666666666
12,6,4,2,0.6666666666666666
13,6,5,1,0.8333333333333334
14,6,4,2,0.6666666666666666
15,6,4,2,0.6666666666666666
17,6,5,1,0.8333333333333334
18,6,4,2,0.6666666666666666
19,6,5,1,0.8333333333333334
21,6,4,2,0.6666666666666666
23,6,4,2,0.6666666666666666
24,6,5,1,0.8333333333333334
25,6,6,0,1.0
26,6,4,2,0.6666666666666666
27,6,4,2,0.6666666666666666
29,6,4,2,0.6666666666666666
30,6,4,2,0.6666666666666666
31,6,4,2,0.6666666666666666
33,6,5,1,0.8333333333333334
34,6,3,3,0.5
35,6,6,0,1.0
36,6,4,2,0.6666666666666666
37,6,5,1,0.8333333333333334
38,6,6,0,1.0
39,6,6,0,1.0
40,6,4,2,0.6666666666666666
42,6,6,0,1.0
44,6,6,0,1.0
45,6,5,1,0.8333333333333334
46,6,5,1,0.8333333333333334
47,6,4,2,0.6666666666666666
48,6,5,1,0.8333333333333334
49,6,5,1,0.8333333333333334
50,6,5,1,0.8333333333333334
51,6,5,1,0.8333333333333334
52,6,6,0,1.0
53,6,4,2,0.6666666666666666
54,6,5,1,0.8333333333333334
55,6,5,1,0.8333333333333334
56,6,4,2,0.6666666666666666
57,6,6,0,1.0
58,6,6,0,1.0
59,6,6,0,1.0
60,6,4,2,0.6666666666666666
61,6,4,2,0.6666666666666666
62,6,4,2,0.6666666666666666
63,6,6,0,1.0
64,6,6,0,1.0
65,6,5,1,0.8333333333333334
66,6,5,1,0.8333333333333334
67,6,6,0,1.0
68,6,6,0,1.0
69,6,6,0,1.0
70,6,6,0,1.0
71,6,6,0,1.0
72,6,6,0,1.0
73,6,6,0,1.0
74,6,6,0,1.0
76,6,6,0,1.0
77,6,5,1,0.8333333333333334
78,6,4,2,0.6666666666666666
79,6,4,2,0.6666666666666666
80,6,6,0,1.0
81,6,5,1,0.8333333333333334
82,6,4,2,0.6666666666666666
83,6,6,0,1.0
84,6,6,0,1.0
85,6,5,1,0.8333333333333334
86,6,4,2,0.6666666666666666
87,6,6,0,1.0
