Pno,GuiltMoreLikely,GuiltLessLikely,NoInformation_Evidence,InnocentUntilProvenGuilty,Confound,Other
1,No,No,No,Yes,No,No
3,No,No,No,No,No,Yes
4,No,No,No,Yes,No,No
6,No,No,No,No,No,Yes
7,No,No,No,No,No,No
8,No,No,No,No,No,Yes
9,No,No,No,No,No,Yes
10,No,No,No,No,No,Yes
11,No,Yes,No,Yes,No,No
12,No,No,No,Yes,No,No
13,No,No,No,No,Yes,No
14,No,No,No,No,No,No
15,No,No,No,No,No,Yes
17,No,No,No,No,No,Yes
18,No,No,No,No,No,Yes
19,No,No,No,No,No,No
21,No,No,No,Yes,No,No
23,No,No,No,No,No,Yes
24,No,No,No,No,No,No
25,No,No,No,No,No,No
26,No,No,No,Yes,No,No
27,No,No,No,No,No,No
29,No,No,No,No,No,No
30,No,No,No,No,No,No
31,No,No,No,No,No,Yes
33,No,No,No,No,No,No
34,No,No,No,No,No,No
35,No,No,No,No,No,No
36,No,No,No,No,No,No
37,No,No,No,No,No,No
38,No,No,No,Yes,No,No
39,No,No,No,No,No,No
40,Yes,No,No,Yes,No,No
42,No,No,No,No,No,No
44,No,No,No,No,No,No
45,No,No,No,No,No,Yes
46,No,No,No,No,No,Yes
47,No,No,No,No,No,Yes
48,No,No,No,Yes,No,No
49,No,No,No,No,No,Yes
50,No,No,No,No,No,No
51,No,No,No,No,No,No
52,No,No,No,No,No,No
53,No,No,No,No,No,No
54,No,No,No,No,No,No
55,No,No,No,No,No,No
56,No,No,No,No,No,No
57,No,No,No,Yes,No,No
58,No,No,No,No,No,No
59,No,No,No,No,No,No
60,No,No,No,No,No,No
61,No,No,No,No,No,No
62,No,No,No,Yes,No,No
63,No,No,No,No,No,Yes
64,No,No,No,No,No,No
65,No,No,No,No,No,No
66,No,No,No,No,No,No
67,No,No,No,No,No,No
68,No,No,No,No,No,No
69,No,No,No,No,No,No
70,No,No,No,No,No,No
71,No,No,No,No,No,No
72,No,No,No,No,No,No
73,Yes,No,No,No,No,No
74,No,No,No,No,No,No
76,No,No,No,No,No,No
77,No,No,No,No,No,No
78,No,No,No,No,No,No
79,No,No,No,No,No,Yes
80,No,No,No,No,No,No
81,No,No,No,No,No,Yes
82,No,No,No,No,No,Yes
83,No,No,No,No,No,No
84,No,No,No,No,No,No
85,No,No,No,No,No,No
86,No,No,No,Yes,No,No
87,No,No,No,No,No,No
88,No,No,No,No,No,Yes
89,No,No,No,No,No,Yes
90,No,No,No,No,No,No
91,No,No,No,No,No,No
92,No,No,No,No,No,Yes
93,No,No,No,No,No,No
94,No,No,No,No,No,Yes
95,No,No,No,No,No,No
96,No,No,No,No,No,No
97,No,No,No,No,No,No
98,No,No,No,Yes,No,No
99,No,No,No,No,No,No
100,No,No,No,No,No,No
101,No,No,No,No,No,No
102,No,No,No,No,No,No
103,No,No,No,No,No,No
105,No,No,No,No,No,No
106,No,No,No,Yes,No,No
108,No,No,No,No,No,No
109,No,No,No,No,No,Yes
110,No,No,No,No,No,Yes
111,No,No,No,No,No,No
112,No,No,No,No,No,No
113,No,No,No,No,No,No
114,No,No,No,No,No,Yes
115,No,No,No,No,No,No
116,No,No,No,No,No,No
117,No,No,No,No,No,Yes
118,No,No,No,No,No,No
