Pno,Confound,Other,GuiltMoreLikely,GuiltLessLikely,NoInformation_Evidence,InnocentUntilProvenGuilty
1,No,Yes,No,No,No,Yes
3,No,Yes,No,No,No,No
4,No,No,No,No,No,Yes
6,No,Yes,No,No,No,No
7,No,No,No,No,No,No
8,No,Yes,No,No,No,No
9,No,Yes,No,No,No,No
10,No,Yes,No,No,No,No
11,No,Yes,No,Yes,No,Yes
12,No,No,No,No,No,Yes
13,Yes,No,No,No,No,No
14,No,No,No,No,No,No
15,No,Yes,No,No,No,No
17,No,Yes,No,No,No,No
18,No,Yes,No,No,No,No
19,No,No,No,No,No,No
21,No,No,No,No,No,Yes
23,No,Yes,No,No,No,No
24,No,No,No,No,No,No
25,No,No,No,No,No,No
26,No,Yes,No,No,No,Yes
27,No,No,No,No,No,No
29,No,No,No,No,No,No
30,No,No,No,No,No,No
31,No,Yes,No,No,No,No
33,No,No,No,No,No,No
34,No,No,No,No,No,No
35,No,No,No,No,No,No
36,No,No,No,No,No,No
37,No,No,No,No,No,No
38,No,No,No,No,No,Yes
39,No,No,No,No,No,No
40,No,Yes,Yes,No,No,Yes
42,No,No,No,No,No,No
44,No,No,No,No,No,No
45,No,Yes,No,No,No,No
46,No,Yes,No,No,No,No
47,No,Yes,No,No,No,No
48,No,Yes,No,No,No,Yes
49,No,Yes,No,No,No,No
50,No,No,No,No,No,No
51,No,No,No,No,No,No
52,No,No,No,No,No,No
53,No,No,No,No,No,No
54,No,No,No,No,No,No
55,No,No,No,No,No,No
56,No,No,No,No,No,No
57,No,Yes,No,No,No,Yes
58,No,No,No,No,No,No
59,No,No,No,No,No,No
60,No,No,No,No,No,No
61,No,No,No,No,No,No
62,No,Yes,No,No,No,Yes
63,No,Yes,No,No,No,No
64,No,No,No,No,No,No
65,No,No,No,No,No,No
66,No,No,No,No,No,No
67,No,No,No,No,No,No
68,No,No,No,No,No,No
69,No,No,No,No,No,No
70,No,No,No,No,No,No
71,No,No,No,No,No,No
72,No,No,No,No,No,No
73,No,No,Yes,No,No,No
74,No,No,No,No,No,No
76,No,No,No,No,No,No
77,No,No,No,No,No,No
78,No,No,No,No,No,No
79,No,Yes,No,No,No,No
80,No,No,No,No,No,No
81,No,Yes,No,No,No,No
82,No,Yes,No,No,No,No
83,No,No,No,No,No,No
84,No,No,No,No,No,No
85,No,No,No,No,No,No
86,No,Yes,No,No,No,Yes
87,No,No,No,No,No,No
88,No,Yes,No,No,No,No
89,No,Yes,No,No,No,No
90,No,No,No,No,No,No
91,No,No,No,No,No,No
92,No,Yes,No,No,No,No
93,No,No,No,No,No,No
94,No,Yes,No,No,No,No
95,No,No,No,No,No,No
96,No,No,No,No,No,No
97,No,No,No,No,No,No
98,No,Yes,No,No,No,Yes
99,No,No,No,No,No,No
100,No,No,No,No,No,No
101,No,No,No,No,No,No
102,No,No,No,No,No,No
103,No,No,No,No,No,No
105,No,No,No,No,No,No
106,No,No,No,No,No,Yes
108,No,No,No,No,No,No
109,No,Yes,No,No,No,No
110,No,Yes,No,No,No,No
111,No,No,No,No,No,No
112,No,No,No,No,No,No
113,No,No,No,No,No,No
114,No,Yes,No,No,No,No
115,No,No,No,No,No,No
116,No,No,No,No,No,No
117,No,Yes,No,No,No,No
118,No,No,No,No,No,No
119,No,No,No,No,No,No
120,No,No,No,No,No,No
121,Yes,No,No,No,No,No
122,Yes,No,No,No,No,Yes
123,No,Yes,No,No,No,No
124,No,No,No,No,No,No
125,No,Yes,No,No,No,Yes
126,No,Yes,No,No,No,No
127,No,Yes,No,No,No,No
128,No,No,No,No,No,No
129,No,Yes,No,No,No,No
130,No,No,No,No,No,Yes
131,No,Yes,No,No,No,No
