Pno,NoInformation_Evidence,InnocentUntilProvenGuilty,Confound,Other,GuiltMoreLikely,GuiltLessLikely
1,No,Yes,No,No,No,No
3,No,No,No,Yes,No,No
4,No,Yes,No,No,No,No
6,No,No,No,Yes,No,No
7,No,No,No,No,No,No
8,No,No,No,Yes,No,No
9,No,No,No,Yes,No,No
10,No,No,No,Yes,No,No
11,No,Yes,No,No,No,Yes
12,No,Yes,No,No,No,No
13,No,No,Yes,No,No,No
14,No,No,No,No,No,No
15,No,No,No,Yes,No,No
17,No,No,No,Yes,No,No
18,No,No,No,Yes,No,No
19,No,No,No,No,No,No
21,No,Yes,No,No,No,No
23,No,No,No,Yes,No,No
24,No,No,No,No,No,No
25,No,No,No,No,No,No
26,No,Yes,No,No,No,No
27,No,No,No,No,No,No
29,No,No,No,No,No,No
30,No,No,No,No,No,No
31,No,No,No,Yes,No,No
33,No,No,No,No,No,No
34,No,No,No,No,No,No
35,No,No,No,No,No,No
36,No,No,No,No,No,No
37,No,No,No,No,No,No
38,No,Yes,No,No,No,No
39,No,No,No,No,No,No
40,No,Yes,No,No,Yes,No
42,No,No,No,No,No,No
