Pno,Confound,Other,GuiltMoreLikely,GuiltLessLikely,NoInformation_Evidence,InnocentUntilProvenGuilty
1,No,No,No,No,No,No
3,No,Yes,No,No,No,Yes
4,No,Yes,No,No,No,No
6,No,No,No,No,No,No
7,No,Yes,No,No,No,No
8,No,No,No,No,Yes,No
9,No,Yes,No,No,Yes,No
10,No,No,No,No,No,No
11,No,Yes,No,No,No,No
12,No,No,No,No,No,No
13,No,Yes,No,No,No,No
14,No,Yes,No,No,Yes,No
15,No,Yes,No,No,No,No
17,No,No,No,No,No,No
18,No,No,No,No,No,No
19,No,No,No,No,No,No
21,No,No,No,No,No,No
23,No,No,No,No,No,No
24,No,No,No,No,Yes,No
25,No,Yes,No,No,Yes,No
26,No,Yes,No,No,No,No
27,No,No,No,Yes,Yes,No
29,No,No,No,No,Yes,No
30,No,No,No,No,No,No
31,No,No,No,No,No,No
33,No,Yes,No,No,No,No
34,No,Yes,No,No,No,No
35,No,No,No,No,No,Yes
36,No,Yes,No,No,Yes,No
37,No,No,No,No,No,No
38,No,Yes,No,No,Yes,No
39,No,Yes,No,Yes,No,Yes
40,No,No,No,Yes,No,No
42,No,No,No,Yes,Yes,No
44,No,No,No,Yes,No,No
45,No,No,No,No,Yes,No
46,No,Yes,No,No,No,No
47,No,No,No,No,Yes,No
48,No,No,No,No,No,No
49,No,No,No,No,No,No
50,No,No,No,No,No,No
51,No,No,No,No,No,No
52,No,Yes,No,No,Yes,No
53,No,Yes,No,No,No,No
54,No,Yes,No,No,No,No
55,No,Yes,No,No,No,No
56,No,No,No,No,Yes,No
57,No,No,No,No,Yes,No
58,No,Yes,No,No,Yes,No
59,No,Yes,No,No,Yes,No
60,No,Yes,No,No,No,No
61,No,No,No,No,No,No
62,No,No,No,No,No,No
63,No,Yes,No,No,Yes,No
64,No,Yes,No,No,Yes,No
65,No,No,No,No,Yes,No
66,No,Yes,No,No,Yes,No
67,No,Yes,No,No,Yes,Yes
68,No,No,No,No,Yes,No
69,No,No,No,No,Yes,No
70,No,No,No,No,Yes,No
71,No,No,No,No,Yes,No
72,No,Yes,No,No,Yes,No
73,No,No,No,No,No,No
74,No,Yes,No,No,Yes,No
76,No,Yes,No,No,Yes,No
77,No,No,No,No,No,No
78,No,No,No,No,Yes,No
79,No,Yes,No,Yes,Yes,No
80,No,Yes,No,No,Yes,No
81,Yes,No,No,No,No,No
82,No,Yes,No,Yes,Yes,Yes
83,No,No,No,No,No,No
84,No,Yes,No,No,Yes,No
85,No,Yes,No,No,Yes,No
86,No,Yes,No,No,Yes,No
87,No,No,No,No,No,No
88,No,No,No,No,Yes,No
89,No,Yes,No,No,Yes,No
90,No,No,No,No,Yes,No
91,No,No,No,No,No,No
92,No,No,No,No,No,No
93,No,Yes,No,No,No,No
94,No,Yes,No,Yes,Yes,No
95,No,Yes,No,No,No,No
96,No,No,No,No,No,No
