Pno,GuiltMoreLikely,GuiltLessLikely,NoInformation_Evidence,InnocentUntilProvenGuilty,Confound,Other
1,No,No,No,No,No,No
3,No,No,No,Yes,No,Yes
4,No,No,No,No,No,Yes
6,No,No,No,No,No,No
7,No,No,No,No,No,Yes
8,No,No,Yes,No,No,No
9,No,No,Yes,No,No,Yes
10,No,No,No,No,No,No
11,No,No,No,No,No,Yes
12,No,No,No,No,No,No
13,No,No,No,No,No,Yes
14,No,No,Yes,No,No,Yes
15,No,No,No,No,No,Yes
17,No,No,No,No,No,No
18,No,No,No,No,No,No
19,No,No,No,No,No,No
21,No,No,No,No,No,No
23,No,No,No,No,No,No
24,No,No,Yes,No,No,No
25,No,No,Yes,No,No,Yes
26,No,No,No,No,No,Yes
27,No,Yes,Yes,No,No,No
29,No,No,Yes,No,No,No
30,No,No,No,No,No,No
31,No,No,No,No,No,No
33,No,No,No,No,No,Yes
34,No,No,No,No,No,Yes
35,No,No,No,Yes,No,No
36,No,No,Yes,No,No,Yes
37,No,No,No,No,No,No
38,No,No,Yes,No,No,Yes
39,No,Yes,No,Yes,No,Yes
40,No,Yes,No,No,No,No
42,No,Yes,Yes,No,No,No
44,No,Yes,No,No,No,No
45,No,No,Yes,No,No,No
46,No,No,No,No,No,Yes
47,No,No,Yes,No,No,No
48,No,No,No,No,No,No
49,No,No,No,No,No,No
50,No,No,No,No,No,No
51,No,No,No,No,No,No
52,No,No,Yes,No,No,Yes
53,No,No,No,No,No,Yes
54,No,No,No,No,No,Yes
55,No,No,No,No,No,Yes
56,No,No,Yes,No,No,No
57,No,No,Yes,No,No,No
58,No,No,Yes,No,No,Yes
59,No,No,Yes,No,No,Yes
60,No,No,No,No,No,Yes
61,No,No,No,No,No,No
62,No,No,No,No,No,No
63,No,No,Yes,No,No,Yes
64,No,No,Yes,No,No,Yes
65,No,No,Yes,No,No,No
66,No,No,Yes,No,No,Yes
67,No,No,Yes,Yes,No,Yes
68,No,No,Yes,No,No,No
69,No,No,Yes,No,No,No
70,No,No,Yes,No,No,No
71,No,No,Yes,No,No,No
72,No,No,Yes,No,No,Yes
73,No,No,No,No,No,No
74,No,No,Yes,No,No,Yes
76,No,No,Yes,No,No,Yes
77,No,No,No,No,No,No
78,No,No,Yes,No,No,No
79,No,Yes,Yes,No,No,Yes
80,No,No,Yes,No,No,Yes
81,No,No,No,No,Yes,No
82,No,Yes,Yes,Yes,No,Yes
83,No,No,No,No,No,No
84,No,No,Yes,No,No,Yes
85,No,No,Yes,No,No,Yes
86,No,No,Yes,No,No,Yes
87,No,No,No,No,No,No
88,No,No,Yes,No,No,No
89,No,No,Yes,No,No,Yes
90,No,No,Yes,No,No,No
91,No,No,No,No,No,No
92,No,No,No,No,No,No
93,No,No,No,No,No,Yes
94,No,Yes,Yes,No,No,Yes
95,No,No,No,No,No,Yes
96,No,No,No,No,No,No
97,No,No,Yes,Yes,No,No
98,Yes,No,No,No,No,Yes
99,No,No,No,No,No,Yes
100,No,No,Yes,No,No,Yes
101,No,No,Yes,No,No,Yes
102,No,No,No,No,No,No
103,No,No,Yes,Yes,No,Yes
105,No,No,Yes,No,No,No
106,No,No,Yes,No,No,Yes
108,No,No,Yes,No,No,No
109,No,No,Yes,No,No,Yes
110,No,No,Yes,No,No,No
111,No,No,Yes,No,No,No
112,No,No,Yes,No,No,No
113,No,No,No,No,No,Yes
114,No,No,Yes,No,No,Yes
115,No,No,Yes,Yes,No,No
116,No,No,Yes,No,No,Yes
117,No,No,Yes,No,No,Yes
118,No,No,Yes,No,No,Yes
119,No,No,Yes,No,No,No
120,Yes,No,No,No,No,Yes
121,No,No,Yes,No,No,Yes
122,Yes,No,No,No,No,No
123,No,No,Yes,No,No,No
124,Yes,No,Yes,No,No,No
125,No,No,No,No,No,No
126,No,No,No,No,No,Yes
127,No,No,Yes,No,No,Yes
128,No,No,No,No,No,Yes
129,Yes,No,Yes,No,No,Yes
130,Yes,No,Yes,No,No,No
131,No,No,No,No,No,No
132,No,No,No,No,No,No
133,No,No,No,No,No,No
134,No,No,Yes,No,No,Yes
135,No,No,No,No,No,No
136,No,No,Yes,No,No,No
137,Yes,No,No,No,No,No
138,Yes,No,No,No,No,No
139,No,No,Yes,No,No,No
140,No,No,No,No,No,Yes
141,No,No,No,No,No,No
142,Yes,No,Yes,No,No,Yes
143,Yes,No,Yes,No,No,No
144,No,No,No,No,No,Yes
145,Yes,No,Yes,No,No,Yes
146,No,No,No,No,No,No
147,No,No,No,No,No,Yes
148,No,No,Yes,No,No,Yes
149,No,No,No,No,No,No
150,Yes,No,No,No,No,No
151,Yes,No,Yes,No,No,No
152,No,No,No,No,No,No
153,No,No,Yes,No,No,Yes
154,No,No,No,No,No,No
155,Yes,No,No,No,No,No
156,No,No,No,No,No,No
157,No,No,Yes,No,No,Yes
158,No,No,Yes,No,No,No
159,No,No,Yes,No,No,No
160,Yes,No,Yes,No,No,Yes
161,Yes,No,Yes,No,No,No
162,No,No,No,No,No,No
163,Yes,No,Yes,No,No,Yes
164,Yes,No,No,No,No,Yes
165,No,No,No,No,No,No
166,Yes,No,No,No,No,No
167,No,No,No,No,No,Yes
168,Yes,No,No,No,No,No
169,Yes,No,No,No,No,No
170,No,No,No,No,No,No
171,Yes,No,Yes,No,No,Yes
172,No,No,No,No,No,Yes
173,No,No,No,No,No,Yes
174,No,No,No,No,No,No
175,No,No,Yes,No,No,No
176,Yes,No,No,No,No,No
177,Yes,No,No,No,No,No
178,Yes,No,No,No,No,No
179,Yes,No,No,No,No,No
180,No,No,Yes,No,No,Yes
181,No,No,Yes,No,No,Yes
182,Yes,No,Yes,No,No,Yes
183,No,No,Yes,No,No,Yes
184,Yes,No,Yes,No,No,Yes
185,No,No,Yes,Yes,No,Yes
186,No,No,No,No,No,Yes
187,No,No,No,No,No,No
188,No,No,No,No,No,Yes
190,No,No,No,No,No,Yes
191,No,No,No,No,No,No
192,No,No,No,Yes,No,No
193,No,No,No,No,No,No
194,No,No,Yes,No,No,Yes
195,No,No,No,No,No,No
196,No,No,No,No,No,No
197,No,No,Yes,No,No,No
198,No,No,Yes,No,No,Yes
199,No,No,Yes,No,No,Yes
200,No,No,Yes,No,No,Yes
201,No,No,No,No,No,No
202,No,No,Yes,No,No,No
203,No,No,No,No,No,No
204,No,No,No,No,No,Yes
205,No,No,No,No,No,No
206,No,No,Yes,No,No,Yes
207,No,No,Yes,No,No,No
208,No,No,No,No,No,Yes
209,No,No,Yes,No,No,No
210,No,No,No,No,No,Yes
211,No,No,Yes,No,No,Yes
212,No,No,No,No,No,Yes
213,No,No,Yes,No,No,No
214,No,No,Yes,No,No,Yes
215,No,No,Yes,No,No,Yes
216,No,No,Yes,No,No,No
217,No,No,Yes,No,No,Yes
218,No,No,Yes,No,No,Yes
219,No,No,No,No,No,No
220,No,No,No,No,No,Yes
221,No,No,Yes,No,No,No
222,No,No,Yes,No,No,No
223,No,No,No,No,No,Yes
224,No,No,Yes,No,No,Yes
225,No,No,Yes,No,No,No
226,No,No,No,No,No,Yes
227,No,No,Yes,No,No,Yes
228,No,No,Yes,Yes,No,Yes
229,No,No,Yes,No,No,No
230,No,No,Yes,No,No,No
231,No,No,No,No,No,Yes
232,No,No,No,No,No,No
233,No,No,No,No,No,Yes
234,No,No,No,No,No,Yes
235,No,No,Yes,No,No,Yes
236,No,No,Yes,No,No,No
237,No,No,Yes,No,No,Yes
238,No,No,No,No,No,Yes
239,No,No,No,No,No,No
240,No,No,Yes,No,No,No
241,No,No,No,No,No,Yes
242,No,Yes,Yes,No,No,Yes
243,No,No,No,No,No,Yes
244,No,No,No,No,No,Yes
245,No,No,No,No,No,No
246,No,No,Yes,No,No,Yes
247,No,No,No,No,No,No
248,No,No,No,No,No,Yes
250,No,No,No,No,No,No
251,No,No,No,No,No,Yes
252,No,No,No,No,No,No
253,No,No,Yes,No,No,Yes
254,No,No,Yes,No,No,No
255,No,No,No,No,No,Yes
256,No,No,Yes,No,No,Yes
257,No,No,No,No,No,Yes
258,No,No,Yes,No,No,No
259,No,No,No,No,No,Yes
260,No,No,Yes,No,No,No
261,No,No,Yes,No,No,Yes
262,No,No,Yes,No,No,Yes
263,Yes,No,Yes,No,No,No
264,No,No,No,No,No,No
265,No,No,No,No,No,No
266,No,No,No,No,No,Yes
267,No,No,No,No,No,Yes
268,No,No,No,No,No,No
269,No,No,No,No,No,No
270,No,No,Yes,Yes,No,Yes
271,No,No,Yes,No,No,Yes
272,No,No,Yes,Yes,No,Yes
273,No,No,No,No,No,Yes
274,No,No,Yes,Yes,No,No
275,Yes,No,Yes,No,Yes,Yes
276,No,No,No,Yes,No,Yes
277,No,No,Yes,No,No,No
278,No,No,No,No,No,No
279,No,No,Yes,No,No,Yes
280,No,No,Yes,Yes,No,No
281,No,No,No,No,No,Yes
282,No,No,No,No,No,No
283,No,No,Yes,No,No,No
284,No,No,No,No,No,Yes
285,No,No,No,No,No,No
286,No,No,Yes,No,No,Yes
287,No,No,No,No,No,No
288,No,No,Yes,No,No,Yes
289,No,No,Yes,No,No,No
290,No,No,Yes,No,No,No
291,No,No,Yes,No,No,Yes
292,No,No,Yes,No,No,Yes
293,No,No,Yes,No,No,No
294,No,No,No,No,No,Yes
296,No,No,Yes,No,No,No
297,No,No,No,No,No,No
298,No,No,No,No,No,Yes
299,No,No,No,No,No,No
300,No,No,Yes,No,No,Yes
301,No,No,No,No,No,No
302,No,No,No,No,No,Yes
303,No,No,No,No,No,Yes
304,No,No,No,No,No,No
305,No,No,No,No,No,No
306,No,No,Yes,No,No,No
307,No,No,Yes,Yes,No,No
308,No,No,Yes,No,No,Yes
309,No,No,Yes,No,No,Yes
310,No,No,Yes,No,No,Yes
311,No,No,No,No,No,No
312,No,No,Yes,No,No,No
313,No,No,Yes,No,No,No
314,No,Yes,Yes,No,No,No
315,No,No,Yes,No,No,Yes
316,No,No,No,No,No,No
317,No,No,Yes,No,No,No
318,Yes,No,Yes,No,No,Yes
319,No,No,Yes,No,No,No
320,No,No,Yes,No,No,No
321,No,No,No,No,No,Yes
322,No,No,No,No,No,No
323,No,No,Yes,No,No,Yes
324,Yes,No,Yes,No,No,No
325,No,No,No,No,No,No
326,No,No,Yes,No,No,No
327,No,No,Yes,No,No,No
329,No,No,Yes,No,No,Yes
330,No,No,No,No,No,No
331,No,No,No,No,No,No
332,No,No,Yes,No,No,No
333,No,No,Yes,No,No,Yes
334,No,No,No,No,No,Yes
335,No,No,Yes,No,No,No
336,No,No,Yes,No,No,Yes
337,No,No,No,No,No,No
338,No,No,No,No,No,No
340,Yes,No,Yes,No,No,Yes
341,No,No,No,No,No,No
342,No,No,No,No,No,No
343,No,No,No,No,No,No
344,No,No,No,No,No,No
345,No,No,No,No,No,No
346,No,No,Yes,No,No,Yes
347,No,No,Yes,No,No,No
348,Yes,No,No,No,No,Yes
349,Yes,No,No,No,No,Yes
350,No,No,No,No,No,Yes
351,No,No,No,No,No,Yes
352,No,No,No,No,No,No
353,No,No,No,No,No,Yes
354,No,No,Yes,No,No,No
355,No,No,Yes,No,No,Yes
356,Yes,No,No,No,No,No
357,No,No,No,No,No,No
358,No,No,No,No,No,No
359,No,No,No,Yes,No,No
360,No,No,No,No,No,Yes
361,No,No,No,No,No,No
362,No,No,Yes,No,No,No
363,No,No,Yes,No,No,No
,No,No,Yes,No,No,Yes
,No,No,Yes,No,No,Yes
