Pno,Confound,Other,GuiltMoreLikely,GuiltLessLikely,NoInformation_Evidence,InnocentUntilProvenGuilty
1,No,No,No,No,No,No
3,No,No,No,No,No,Yes
4,No,No,No,No,No,No
6,No,No,No,No,No,No
7,No,No,Yes,No,No,No
8,No,No,No,No,No,No
9,No,No,No,Yes,No,No
10,No,No,No,No,No,No
11,No,No,No,No,No,No
12,No,No,No,Yes,No,No
13,No,No,No,No,No,No
14,No,No,No,No,No,No
15,No,No,Yes,No,No,No
17,No,No,No,No,No,No
18,No,No,No,No,No,No
19,No,No,No,No,No,No
21,No,Yes,Yes,No,No,Yes
23,No,No,No,Yes,No,No
24,No,Yes,No,No,No,No
25,No,Yes,No,No,No,Yes
26,No,No,No,No,No,No
27,No,Yes,Yes,No,No,Yes
29,No,Yes,Yes,No,No,No
30,No,No,No,No,No,No
31,No,No,No,No,No,No
33,No,No,No,No,No,No
34,No,No,Yes,No,No,No
35,No,No,No,No,Yes,Yes
36,No,No,No,Yes,No,No
37,No,Yes,No,No,No,No
38,No,No,No,No,No,No
39,No,No,No,Yes,No,Yes
40,Yes,No,Yes,No,No,No
42,No,No,No,Yes,No,Yes
44,No,No,No,No,No,No
45,No,Yes,Yes,No,No,No
46,No,No,No,No,No,No
47,No,No,No,No,No,No
48,No,No,No,No,No,No
49,No,No,No,No,No,No
50,No,No,Yes,No,No,No
51,No,No,No,No,No,No
52,No,Yes,No,No,Yes,No
53,No,No,No,No,No,No
54,No,No,No,Yes,No,No
55,No,No,No,Yes,No,Yes
56,No,No,No,No,No,No
57,No,No,No,No,No,No
58,No,Yes,No,No,Yes,No
59,No,No,Yes,No,Yes,Yes
60,No,No,No,No,No,No
61,No,No,No,No,No,No
62,No,No,No,Yes,Yes,No
63,No,No,No,No,Yes,No
64,No,No,No,No,Yes,No
65,No,No,No,No,Yes,No
66,No,No,No,No,No,No
67,No,No,No,No,No,Yes
68,No,Yes,No,No,No,No
69,No,Yes,No,No,Yes,No
70,No,No,No,No,No,No
71,No,No,No,No,Yes,No
72,No,No,No,Yes,No,No
73,No,No,No,Yes,No,No
74,No,Yes,No,No,Yes,No
76,No,Yes,No,No,Yes,No
77,No,No,No,No,No,No
78,No,No,No,No,No,No
79,No,Yes,Yes,No,No,No
80,No,No,No,No,Yes,No
81,No,No,No,No,No,No
82,No,No,No,Yes,Yes,Yes
83,No,No,No,No,No,No
84,No,No,No,No,No,No
85,No,No,No,Yes,No,No
86,No,Yes,Yes,No,No,Yes
87,No,No,No,No,No,No
88,No,No,No,No,No,No
89,No,No,Yes,No,No,Yes
90,No,No,No,No,No,No
91,No,No,No,No,No,No
92,No,No,Yes,No,No,No
93,No,No,No,No,No,No
94,No,No,No,Yes,No,No
95,No,No,Yes,No,No,No
96,No,No,No,No,No,No
97,No,No,No,No,No,No
98,No,Yes,No,No,No,No
99,No,No,No,No,Yes,No
100,No,No,No,No,No,No
101,No,No,Yes,No,Yes,No
102,No,No,Yes,No,No,No
103,No,No,No,No,No,Yes
105,No,No,Yes,No,No,No
106,No,Yes,No,No,No,No
108,No,Yes,Yes,No,No,No
109,No,No,Yes,No,Yes,No
110,No,No,No,No,No,No
111,No,No,No,No,Yes,No
112,No,Yes,Yes,No,No,No
113,No,No,No,No,No,Yes
114,No,No,No,No,No,No
115,No,Yes,Yes,No,No,Yes
116,No,Yes,No,No,Yes,No
117,No,No,No,No,No,No
118,No,Yes,No,No,No,No
119,No,Yes,No,No,No,No
120,No,No,No,No,No,No
121,No,No,Yes,No,No,No
122,No,No,Yes,No,No,No
123,No,No,Yes,No,No,No
124,No,No,Yes,No,No,No
125,No,No,Yes,No,No,No
126,No,No,No,No,No,No
127,No,No,Yes,No,No,No
128,No,No,Yes,No,No,No
129,No,No,Yes,No,No,No
130,No,No,No,No,No,No
131,No,No,No,No,No,No
132,No,No,No,No,No,No
133,No,No,No,No,No,No
134,No,Yes,Yes,No,No,No
135,No,No,No,No,No,No
136,No,Yes,Yes,No,No,Yes
137,No,No,Yes,No,No,No
138,No,No,Yes,No,No,No
139,No,No,No,No,No,No
140,No,No,Yes,No,No,No
141,No,No,Yes,No,No,No
142,No,No,Yes,No,No,No
143,No,No,Yes,No,No,No
144,No,Yes,Yes,No,No,No
145,No,Yes,Yes,No,No,No
146,No,No,No,No,No,No
147,No,No,Yes,No,No,No
148,No,Yes,Yes,No,No,No
149,No,No,No,No,No,No
150,No,No,Yes,No,No,No
151,No,No,Yes,No,No,No
152,No,Yes,Yes,No,No,No
153,No,Yes,Yes,No,No,No
154,No,No,Yes,No,No,No
155,No,No,Yes,No,No,No
156,No,No,No,No,No,No
157,No,Yes,No,No,No,No
158,No,No,No,No,No,No
159,No,Yes,No,No,Yes,No
160,No,No,Yes,No,No,No
161,No,No,Yes,No,No,No
162,No,No,Yes,No,No,No
163,No,No,Yes,No,No,No
164,No,No,Yes,No,No,Yes
165,No,No,No,No,No,No
166,No,No,No,No,No,No
167,No,Yes,Yes,No,No,No
168,No,No,No,No,No,No
169,No,No,No,No,No,No
170,No,Yes,No,No,No,No
171,No,No,Yes,No,No,No
172,No,No,Yes,No,No,Yes
173,No,No,No,No,No,No
174,No,No,No,No,No,No
175,No,No,No,No,No,No
176,No,No,Yes,No,No,No
177,No,No,Yes,No,No,No
178,No,No,No,No,Yes,Yes
179,No,No,Yes,No,No,No
180,No,No,Yes,No,No,Yes
181,No,No,Yes,No,No,No
182,No,No,Yes,No,No,No
183,No,Yes,Yes,No,No,No
184,No,No,Yes,No,No,No
185,No,No,No,No,No,Yes
186,No,No,No,No,No,No
187,No,No,No,No,No,No
188,No,No,No,No,No,No
190,No,No,No,No,No,No
191,No,No,No,No,No,No
192,No,No,No,No,No,Yes
193,No,Yes,Yes,No,No,No
194,No,No,No,No,No,No
195,No,No,No,Yes,No,No
196,No,No,No,No,No,No
197,No,No,No,No,No,No
198,No,Yes,No,No,No,No
199,No,Yes,No,No,Yes,No
200,No,Yes,Yes,No,No,No
201,No,No,No,No,No,No
202,No,No,No,No,No,No
203,No,Yes,Yes,No,No,No
204,No,No,No,No,No,No
205,No,No,No,No,No,No
206,No,No,Yes,No,No,No
207,No,No,No,No,Yes,No
208,No,Yes,No,No,No,No
209,No,Yes,No,No,Yes,No
210,No,No,No,Yes,No,No
211,No,Yes,No,No,Yes,No
212,No,No,No,No,No,No
213,No,No,No,No,Yes,No
214,No,No,No,No,No,No
215,No,No,No,No,No,No
216,No,Yes,No,No,No,No
217,No,Yes,No,No,No,No
218,No,No,No,No,No,No
219,No,No,No,No,No,No
220,No,No,No,No,No,No
221,No,No,No,No,No,No
222,No,No,Yes,No,No,No
223,No,No,No,No,No,No
224,No,No,No,No,No,No
225,No,No,No,No,Yes,No
226,No,No,No,No,No,No
227,No,No,No,No,No,No
228,No,No,No,No,Yes,Yes
229,No,No,No,No,Yes,No
230,No,Yes,No,No,Yes,No
231,No,No,No,No,No,No
232,No,No,Yes,No,No,No
233,No,No,No,No,No,No
234,No,No,Yes,No,No,No
235,No,No,No,No,No,No
236,No,No,No,No,No,No
237,No,Yes,No,No,No,No
238,No,No,No,No,No,No
239,No,No,No,No,Yes,Yes
240,No,No,No,No,No,No
241,No,Yes,No,No,No,No
242,No,No,No,No,No,No
243,No,No,No,No,No,No
244,No,No,No,No,No,No
245,No,No,No,Yes,No,No
246,No,No,No,No,No,No
247,No,No,No,No,No,No
248,No,No,No,No,No,No
250,No,No,No,No,No,No
251,No,No,No,No,No,No
252,No,No,Yes,No,No,No
253,No,No,Yes,No,No,No
254,No,No,No,No,No,No
255,No,No,No,No,No,No
256,No,No,Yes,No,No,No
257,No,No,Yes,No,No,No
258,No,Yes,No,No,No,No
259,No,No,Yes,No,No,No
260,No,No,No,No,No,No
261,No,No,Yes,No,No,No
262,No,No,No,Yes,No,No
263,No,No,Yes,No,No,No
264,No,No,No,No,No,No
265,No,No,No,No,No,No
266,No,No,No,No,No,No
267,No,No,No,No,No,No
268,No,No,Yes,No,No,No
269,No,Yes,No,Yes,No,Yes
270,No,No,No,No,No,Yes
271,No,No,No,No,Yes,No
272,No,No,No,No,Yes,Yes
273,No,No,No,No,No,No
274,No,No,No,No,Yes,No
275,No,Yes,Yes,No,No,Yes
276,No,No,No,No,No,Yes
277,No,Yes,No,No,No,No
278,No,Yes,No,No,No,No
279,No,No,Yes,No,No,No
280,No,No,No,No,No,Yes
281,No,No,No,No,Yes,No
282,No,No,No,No,No,No
283,No,Yes,No,No,Yes,No
284,No,No,No,No,No,No
285,No,Yes,No,No,No,No
286,No,No,No,No,Yes,No
287,No,No,No,No,No,No
288,No,No,No,No,Yes,No
289,No,No,No,No,No,No
290,No,Yes,No,No,No,No
291,No,Yes,No,No,No,No
292,No,No,No,No,Yes,No
293,No,No,No,No,Yes,No
294,No,No,No,No,No,No
296,No,No,No,No,Yes,No
297,No,No,No,No,No,No
298,No,No,Yes,No,No,No
299,No,No,No,No,No,No
300,No,No,Yes,No,No,No
301,No,No,No,No,No,No
302,No,Yes,No,No,No,No
303,No,No,No,No,No,No
304,No,No,No,No,No,No
305,No,No,No,No,No,No
306,No,Yes,No,No,Yes,No
307,No,No,Yes,No,Yes,Yes
308,No,No,No,No,No,No
309,No,Yes,Yes,No,No,Yes
310,No,Yes,No,No,No,No
311,No,No,No,No,No,No
312,No,Yes,No,No,Yes,No
313,No,No,No,No,Yes,No
314,No,Yes,Yes,No,Yes,No
315,No,No,No,No,No,No
316,No,No,Yes,No,No,No
317,No,No,Yes,No,No,No
318,No,No,Yes,No,No,No
319,No,No,No,No,No,No
320,No,No,Yes,No,No,No
321,No,No,No,No,No,No
322,No,No,Yes,No,No,No
323,No,No,No,No,No,No
324,No,No,Yes,No,No,No
325,No,No,No,No,No,No
326,No,No,No,No,No,No
327,No,No,Yes,No,No,No
329,No,Yes,No,No,No,No
330,No,No,Yes,No,No,No
331,No,No,Yes,No,No,No
332,No,No,No,No,No,No
333,No,No,No,No,No,No
334,No,No,No,No,No,No
335,No,No,No,No,No,No
336,No,No,No,No,No,No
337,No,No,No,No,No,No
338,No,No,No,No,Yes,No
340,No,No,Yes,No,No,No
341,No,No,Yes,No,No,No
342,No,No,No,No,No,No
343,No,No,Yes,No,No,No
344,No,No,No,No,No,No
345,No,No,Yes,No,No,No
346,No,No,No,No,No,No
347,No,No,Yes,No,No,No
348,No,No,Yes,No,No,No
349,No,No,Yes,No,No,No
350,No,No,No,No,No,No
351,No,No,No,No,No,No
352,No,Yes,No,No,No,No
353,No,No,Yes,No,No,No
354,No,No,No,No,No,No
355,No,No,No,No,No,No
356,No,No,Yes,No,No,No
357,No,No,No,No,No,No
358,No,No,No,No,No,No
359,No,No,No,No,No,Yes
360,No,No,Yes,No,No,No
361,No,Yes,No,No,No,No
362,No,No,No,No,No,No
363,No,No,No,No,No,No
,No,No,No,No,No,No
,No,No,No,No,No,No
