Pno,Other,Confound,InnocentUntilProvenGuilty,GuiltMoreLikely,GuiltLessLikely,NoInformation_Evidence
1,No,No,No,No,No,No
3,Yes,No,Yes,No,No,No
4,Yes,No,No,No,No,No
6,No,No,No,No,No,No
7,Yes,No,No,No,No,No
8,No,No,No,No,No,Yes
9,Yes,No,No,No,No,Yes
10,No,No,No,No,No,No
11,Yes,No,No,No,No,No
12,No,No,No,No,No,No
13,Yes,No,No,No,No,No
14,Yes,No,No,No,No,Yes
15,Yes,No,No,No,No,No
17,No,No,No,No,No,No
18,No,No,No,No,No,No
19,No,No,No,No,No,No
21,No,No,No,No,No,No
23,No,No,No,No,No,No
24,No,No,No,No,No,Yes
25,Yes,No,No,No,No,Yes
26,Yes,No,No,No,No,No
27,No,No,No,No,Yes,Yes
29,No,No,No,No,No,Yes
30,No,No,No,No,No,No
31,No,No,No,No,No,No
33,Yes,No,No,No,No,No
34,Yes,No,No,No,No,No
35,No,No,Yes,No,No,No
36,Yes,No,No,No,No,Yes
37,No,No,No,No,No,No
38,Yes,No,No,No,No,Yes
39,Yes,No,Yes,No,Yes,No
40,No,No,No,No,Yes,No
42,No,No,No,No,Yes,Yes
44,No,No,No,No,Yes,No
45,No,No,No,No,No,Yes
46,Yes,No,No,No,No,No
47,No,No,No,No,No,Yes
48,No,No,No,No,No,No
49,No,No,No,No,No,No
50,No,No,No,No,No,No
51,No,No,No,No,No,No
52,Yes,No,No,No,No,Yes
53,Yes,No,No,No,No,No
54,Yes,No,No,No,No,No
55,Yes,No,No,No,No,No
56,No,No,No,No,No,Yes
57,No,No,No,No,No,Yes
58,Yes,No,No,No,No,Yes
59,Yes,No,No,No,No,Yes
60,Yes,No,No,No,No,No
61,No,No,No,No,No,No
62,No,No,No,No,No,No
63,Yes,No,No,No,No,Yes
64,Yes,No,No,No,No,Yes
65,No,No,No,No,No,Yes
66,Yes,No,No,No,No,Yes
67,Yes,No,Yes,No,No,Yes
68,No,No,No,No,No,Yes
69,No,No,No,No,No,Yes
70,No,No,No,No,No,Yes
71,No,No,No,No,No,Yes
72,Yes,No,No,No,No,Yes
73,No,No,No,No,No,No
74,Yes,No,No,No,No,Yes
76,Yes,No,No,No,No,Yes
77,No,No,No,No,No,No
78,No,No,No,No,No,Yes
79,Yes,No,No,No,Yes,Yes
80,Yes,No,No,No,No,Yes
81,No,Yes,No,No,No,No
