Pno,Confound,Other,GuiltMoreLikely,GuiltLessLikely,NoInformation_Evidence,InnocentUntilProvenGuilty
1,No,No,No,No,No,No
3,No,No,No,No,Yes,Yes
4,No,No,No,No,No,Yes
6,No,Yes,No,No,No,No
7,No,No,No,No,No,No
8,No,No,No,No,No,No
9,No,No,No,No,No,No
10,No,No,No,No,Yes,No
11,No,No,No,No,No,Yes
12,No,No,No,No,No,No
13,No,No,No,No,No,No
14,No,No,No,No,No,No
15,No,No,No,No,No,No
17,No,No,No,No,No,No
18,No,No,No,No,No,No
19,No,Yes,No,No,No,No
21,No,No,No,No,No,Yes
23,No,No,No,No,No,Yes
24,No,No,No,No,No,No
25,No,No,No,No,No,No
26,No,No,No,No,No,Yes
27,No,No,No,No,No,Yes
29,No,No,No,No,No,No
30,No,No,No,No,No,Yes
31,No,No,No,No,No,Yes
33,No,No,No,No,No,No
34,No,Yes,No,No,Yes,No
35,No,Yes,No,No,Yes,No
36,No,Yes,No,No,No,No
37,No,No,No,No,No,No
38,No,No,No,No,No,Yes
39,No,No,No,No,Yes,No
40,No,No,No,No,No,Yes
42,No,No,No,No,No,No
44,No,No,No,No,No,No
45,No,No,No,No,No,No
46,No,No,No,No,No,No
47,No,No,No,No,No,Yes
48,No,Yes,No,No,No,No
49,No,No,No,No,No,No
50,No,No,No,No,No,No
51,No,No,No,No,No,Yes
52,No,No,No,No,Yes,Yes
53,No,No,No,No,Yes,Yes
54,No,No,No,No,No,No
55,No,No,No,No,No,Yes
56,No,No,No,No,Yes,No
57,No,No,No,No,No,No
58,No,No,No,No,Yes,No
59,No,No,No,No,Yes,No
60,No,No,No,No,Yes,No
61,No,No,No,No,No,No
62,No,No,No,No,No,Yes
63,No,No,No,No,Yes,Yes
64,No,No,No,No,Yes,No
65,No,No,No,No,No,No
66,No,No,No,No,No,No
67,No,No,No,No,No,No
68,No,Yes,No,No,Yes,No
69,No,No,No,No,Yes,No
70,No,No,No,No,Yes,No
71,No,No,No,No,Yes,Yes
72,No,Yes,No,No,No,No
73,No,No,No,No,Yes,No
74,No,No,No,No,Yes,Yes
76,No,Yes,No,No,Yes,No
77,No,No,No,No,No,No
78,No,No,No,No,No,Yes
79,No,No,No,No,Yes,No
80,No,Yes,No,No,Yes,No
81,No,No,No,No,No,No
82,No,No,No,No,No,Yes
83,No,No,No,No,No,No
84,No,No,No,No,Yes,No
85,No,No,No,No,No,No
86,No,No,No,No,No,No
87,No,No,No,No,No,Yes
88,No,No,No,No,No,No
89,No,No,No,No,No,Yes
90,No,No,No,No,No,Yes
91,No,No,No,No,No,No
92,No,No,No,No,No,No
93,No,No,No,No,No,No
94,No,No,No,No,No,No
95,No,Yes,No,No,No,No
96,No,No,No,No,No,No
97,No,No,No,No,Yes,Yes
98,No,No,No,No,No,No
99,No,No,No,No,Yes,No
100,No,No,No,No,Yes,No
101,No,No,No,No,No,Yes
102,No,No,No,No,No,No
103,No,No,No,No,No,No
105,No,No,No,No,No,Yes
106,No,No,No,No,No,Yes
108,No,No,No,No,Yes,No
109,No,No,No,No,No,Yes
110,No,No,No,No,No,Yes
111,No,No,No,No,Yes,Yes
112,No,No,No,No,No,No
113,No,No,No,No,No,No
114,No,No,No,No,Yes,No
115,No,No,No,No,Yes,Yes
116,No,No,No,No,Yes,No
117,No,No,No,No,Yes,No
118,No,No,No,No,No,Yes
119,No,Yes,No,No,No,No
120,No,No,Yes,No,No,No
121,No,No,No,No,No,No
122,No,No,Yes,No,No,No
123,No,No,No,No,Yes,No
124,No,No,Yes,No,No,No
125,No,No,No,No,Yes,No
126,No,No,No,No,No,No
127,No,No,No,No,Yes,No
128,No,No,No,No,No,No
129,No,No,No,No,No,Yes
130,No,No,Yes,No,No,No
131,No,No,No,No,No,No
132,No,No,No,No,No,No
133,No,No,No,No,No,No
134,No,No,No,No,No,Yes
135,No,No,Yes,No,No,No
136,No,No,No,No,Yes,No
137,No,No,No,No,No,No
138,No,No,No,No,No,No
139,No,No,No,No,No,No
140,No,No,Yes,No,No,No
141,No,No,No,No,No,No
142,No,No,No,No,No,No
143,No,No,No,No,No,No
144,No,No,No,No,No,No
145,No,No,No,No,No,No
146,No,No,No,No,No,No
147,No,No,No,No,No,No
148,No,No,No,No,No,No
149,No,No,No,No,No,No
150,No,No,No,No,No,No
151,No,No,No,No,No,No
152,No,No,No,No,No,No
153,No,No,No,No,No,No
154,No,No,No,No,No,No
155,No,No,No,No,Yes,No
156,No,No,Yes,No,No,No
157,No,No,No,No,No,No
158,No,No,No,No,Yes,No
159,No,No,No,No,No,No
160,No,No,No,No,No,No
161,No,No,No,No,No,Yes
162,No,No,Yes,No,No,No
163,No,No,Yes,No,Yes,No
