Pno,NoInformation_Evidence,InnocentUntilProvenGuilty,Confound,Other,GuiltMoreLikely,GuiltLessLikely
1,No,No,No,No,No,No
3,No,Yes,No,No,No,No
4,No,No,No,No,No,No
6,No,No,No,No,No,Yes
7,No,No,No,No,No,No
8,No,No,No,No,No,No
9,No,No,No,No,No,No
10,No,No,No,No,Yes,No
11,No,Yes,No,No,No,No
12,No,No,No,No,Yes,No
13,No,No,No,No,Yes,No
14,No,No,No,No,No,Yes
15,No,No,No,No,Yes,No
17,No,No,No,No,No,No
18,No,No,No,No,No,Yes
19,No,No,No,No,No,No
21,No,No,No,No,No,No
23,No,No,No,No,Yes,No
24,No,No,No,No,No,No
25,No,No,No,No,No,Yes
26,No,No,No,No,No,No
27,No,Yes,No,No,No,No
29,No,No,No,No,No,No
30,No,Yes,No,No,No,No
31,No,Yes,No,No,No,No
33,No,No,No,No,No,No
34,Yes,No,No,No,No,No
35,Yes,No,No,No,No,No
36,No,No,No,No,No,No
37,No,No,No,No,No,No
38,No,No,No,No,No,No
39,No,No,No,No,No,Yes
40,No,No,No,No,No,No
42,No,No,No,No,No,Yes
44,No,No,No,No,No,Yes
45,No,No,No,No,No,No
46,No,No,No,No,No,No
47,No,Yes,No,No,No,No
48,No,No,No,No,No,No
49,Yes,No,No,No,No,No
50,No,No,No,No,No,No
51,No,No,No,No,No,No
52,Yes,No,No,Yes,No,No
53,Yes,No,No,No,No,No
54,No,No,No,No,No,No
55,No,No,No,No,No,No
56,Yes,No,No,Yes,No,No
57,No,No,No,No,No,No
58,Yes,No,No,No,No,No
59,Yes,No,No,Yes,No,No
60,Yes,No,No,No,No,No
61,No,No,No,No,No,No
62,No,No,No,No,No,No
63,Yes,No,No,No,No,No
64,Yes,No,No,No,No,No
65,No,No,No,No,No,No
66,No,No,No,No,No,No
67,No,No,No,No,No,No
68,Yes,No,No,No,No,No
69,Yes,No,No,No,No,No
70,Yes,No,No,No,No,No
71,No,No,No,No,No,Yes
72,Yes,No,No,No,No,Yes
73,No,No,No,No,Yes,No
74,Yes,No,No,No,No,No
76,Yes,No,No,No,No,No
77,No,No,No,No,No,Yes
78,No,Yes,No,No,No,No
79,Yes,No,No,No,No,No
80,Yes,No,No,Yes,No,No
81,No,No,No,No,No,No
82,No,No,No,No,No,Yes
83,No,No,No,No,No,No
84,Yes,No,No,No,No,No
85,No,No,No,No,No,No
86,No,No,No,No,Yes,No
87,No,No,No,No,No,Yes
88,No,No,No,No,No,No
89,No,No,No,No,No,No
90,No,No,No,No,No,No
91,No,No,No,No,Yes,No
92,No,No,No,No,No,No
93,No,No,No,No,No,No
94,No,No,No,No,No,No
95,No,No,No,No,No,No
96,No,No,No,No,No,No
97,Yes,No,No,No,No,No
98,No,No,No,No,Yes,No
99,Yes,No,No,No,No,No
100,Yes,No,No,No,No,No
101,No,No,No,No,No,No
102,No,No,No,No,Yes,No
103,No,No,No,No,No,No
105,No,No,No,No,No,No
106,No,No,No,No,No,No
108,Yes,No,No,No,No,No
109,Yes,No,No,No,No,No
110,No,No,No,No,No,No
111,Yes,No,No,No,No,No
112,No,No,No,No,No,No
113,No,No,No,No,No,No
114,Yes,No,No,No,No,No
115,No,Yes,No,No,No,No
116,Yes,No,No,No,No,No
117,Yes,No,No,No,No,No
118,No,No,No,No,No,No
119,No,No,No,Yes,No,No
120,No,No,No,No,Yes,No
121,No,No,No,No,No,No
122,No,No,No,No,Yes,No
123,No,No,No,No,Yes,No
124,No,No,No,No,Yes,No
125,No,No,No,No,Yes,No
126,No,No,No,No,No,No
127,Yes,No,No,No,Yes,No
128,No,No,No,No,No,No
129,No,No,No,No,Yes,No
130,No,No,No,No,Yes,No
131,No,No,No,No,Yes,No
132,No,No,No,No,No,No
133,No,No,No,No,No,No
134,No,No,No,No,No,No
135,No,No,No,No,Yes,No
136,Yes,No,No,No,No,No
137,No,No,No,No,Yes,No
138,No,No,No,No,Yes,No
139,No,No,No,No,No,No
140,No,No,No,No,Yes,No
141,No,No,No,No,Yes,No
142,No,No,No,No,Yes,No
143,No,No,No,No,Yes,No
144,No,No,No,No,Yes,No
145,No,No,No,No,Yes,No
146,No,No,No,No,Yes,No
147,No,No,No,No,No,No
148,No,No,No,No,No,No
149,No,No,No,No,Yes,No
150,No,No,No,No,Yes,No
151,No,No,No,No,Yes,No
152,No,No,No,No,Yes,No
153,No,No,No,No,Yes,No
154,No,No,No,No,Yes,No
155,No,No,No,No,Yes,No
156,No,No,No,No,No,No
157,No,No,No,No,No,No
158,No,No,No,No,No,No
159,No,No,No,No,Yes,No
160,No,No,No,No,Yes,No
161,No,No,No,No,Yes,No
162,No,No,No,No,Yes,No
163,No,No,No,No,Yes,No
164,No,No,No,No,Yes,No
165,No,No,No,No,Yes,No
166,No,No,No,No,Yes,No
167,No,No,No,No,Yes,No
168,No,No,No,No,Yes,No
169,No,No,No,No,Yes,No
170,No,No,No,No,No,No
171,No,No,No,No,Yes,No
172,No,No,No,No,No,No
173,No,No,No,No,Yes,No
174,No,No,No,No,No,No
175,No,No,No,No,No,No
176,No,No,No,No,Yes,No
177,No,No,No,No,Yes,No
178,No,No,No,No,Yes,No
179,No,No,No,No,Yes,No
180,Yes,No,No,No,No,No
181,No,No,No,No,No,No
182,No,No,No,No,Yes,No
183,No,No,No,No,No,No
184,No,No,No,No,Yes,No
185,No,Yes,No,No,No,No
186,No,No,No,No,No,No
187,No,No,No,No,No,No
188,No,No,No,No,No,No
190,Yes,No,No,No,No,No
191,No,No,No,No,No,No
192,No,Yes,No,Yes,No,No
193,No,No,No,No,No,Yes
194,No,No,No,No,No,No
195,No,No,No,No,No,No
196,No,No,No,No,No,No
197,No,No,No,No,No,No
198,No,No,No,No,No,No
199,Yes,No,No,No,No,No
200,No,No,No,No,No,No
201,No,No,No,No,No,No
202,No,No,No,No,No,No
203,No,No,No,No,No,No
204,No,No,No,No,No,No
205,No,No,No,No,No,No
206,No,No,No,No,No,No
207,No,No,No,Yes,No,No
208,Yes,Yes,No,No,No,No
209,Yes,No,No,No,No,No
210,Yes,No,No,No,No,No
211,Yes,No,No,Yes,No,No
212,No,No,No,No,No,No
213,Yes,No,No,No,No,No
214,Yes,No,No,No,No,No
215,No,No,No,No,No,No
216,Yes,No,No,No,No,No
217,No,No,No,Yes,No,No
218,Yes,No,No,No,No,No
219,No,No,No,No,No,No
220,No,Yes,No,No,No,No
221,Yes,No,No,Yes,No,No
222,No,No,No,No,No,No
223,Yes,No,No,No,No,No
224,Yes,No,No,Yes,No,No
225,Yes,No,No,Yes,No,No
226,Yes,No,No,No,No,No
227,Yes,No,No,No,No,No
228,Yes,No,No,No,No,No
229,Yes,No,No,No,No,No
230,Yes,No,No,No,No,No
231,No,No,No,No,No,No
232,No,No,No,No,No,No
233,No,No,No,No,No,No
234,Yes,No,No,No,No,No
235,Yes,No,No,No,No,No
236,Yes,Yes,No,No,No,No
237,Yes,No,No,No,No,No
238,No,No,No,No,No,No
239,Yes,No,No,No,No,No
240,Yes,No,No,No,No,No
241,No,No,No,Yes,No,No
242,Yes,No,No,No,No,No
243,No,No,No,No,No,No
244,No,No,No,Yes,No,No
245,No,No,No,No,No,No
246,No,No,No,No,No,No
247,No,No,No,No,Yes,No
248,No,No,No,No,Yes,No
250,No,No,No,No,No,No
251,No,No,No,No,No,No
252,No,No,No,No,No,No
253,No,No,No,No,Yes,No
