Pno,Other,Confound,InnocentUntilProvenGuilty,GuiltMoreLikely,GuiltLessLikely,NoInformation_Evidence
1,No,No,No,No,No,No
3,No,No,Yes,No,No,No
4,No,No,No,No,No,No
6,No,No,No,No,Yes,No
7,No,No,No,No,No,No
8,No,No,No,No,No,No
9,No,No,No,No,No,No
10,No,No,No,Yes,No,No
11,No,No,Yes,No,No,No
12,No,No,No,Yes,No,No
13,No,No,No,Yes,No,No
14,No,No,No,No,Yes,No
15,No,No,No,Yes,No,No
17,No,No,No,No,No,No
18,No,No,No,No,Yes,No
19,No,No,No,No,No,No
21,No,No,No,No,No,No
23,No,No,No,Yes,No,No
24,No,No,No,No,No,No
25,No,No,No,No,Yes,No
26,No,No,No,No,No,No
27,No,No,Yes,No,No,No
29,No,No,No,No,No,No
30,No,No,Yes,No,No,No
31,No,No,Yes,No,No,No
33,No,No,No,No,No,No
34,No,No,No,No,No,Yes
35,No,No,No,No,No,Yes
36,No,No,No,No,No,No
37,No,No,No,No,No,No
38,No,No,No,No,No,No
39,No,No,No,No,Yes,No
40,No,No,No,No,No,No
42,No,No,No,No,Yes,No
44,No,No,No,No,Yes,No
45,No,No,No,No,No,No
46,No,No,No,No,No,No
47,No,No,Yes,No,No,No
48,No,No,No,No,No,No
49,No,No,No,No,No,Yes
50,No,No,No,No,No,No
51,No,No,No,No,No,No
52,Yes,No,No,No,No,Yes
53,No,No,No,No,No,Yes
54,No,No,No,No,No,No
55,No,No,No,No,No,No
56,Yes,No,No,No,No,Yes
57,No,No,No,No,No,No
58,No,No,No,No,No,Yes
59,Yes,No,No,No,No,Yes
60,No,No,No,No,No,Yes
61,No,No,No,No,No,No
62,No,No,No,No,No,No
63,No,No,No,No,No,Yes
64,No,No,No,No,No,Yes
65,No,No,No,No,No,No
66,No,No,No,No,No,No
67,No,No,No,No,No,No
68,No,No,No,No,No,Yes
69,No,No,No,No,No,Yes
70,No,No,No,No,No,Yes
71,No,No,No,No,Yes,No
72,No,No,No,No,Yes,Yes
73,No,No,No,Yes,No,No
74,No,No,No,No,No,Yes
76,No,No,No,No,No,Yes
77,No,No,No,No,Yes,No
78,No,No,Yes,No,No,No
79,No,No,No,No,No,Yes
80,Yes,No,No,No,No,Yes
81,No,No,No,No,No,No
82,No,No,No,No,Yes,No
83,No,No,No,No,No,No
84,No,No,No,No,No,Yes
85,No,No,No,No,No,No
86,No,No,No,Yes,No,No
87,No,No,No,No,Yes,No
88,No,No,No,No,No,No
89,No,No,No,No,No,No
90,No,No,No,No,No,No
91,No,No,No,Yes,No,No
92,No,No,No,No,No,No
93,No,No,No,No,No,No
94,No,No,No,No,No,No
95,No,No,No,No,No,No
96,No,No,No,No,No,No
97,No,No,No,No,No,Yes
98,No,No,No,Yes,No,No
99,No,No,No,No,No,Yes
100,No,No,No,No,No,Yes
101,No,No,No,No,No,No
102,No,No,No,Yes,No,No
103,No,No,No,No,No,No
105,No,No,No,No,No,No
106,No,No,No,No,No,No
108,No,No,No,No,No,Yes
109,No,No,No,No,No,Yes
