Pno,InnocentUntilProvenGuilty,GuiltLessLikely,Other,GuiltMoreLikely,NoInformation_Evidence,Confound
1,No,No,No,No,No,No
3,Yes,No,No,No,Yes,No
4,No,No,No,No,No,No
6,No,No,No,No,No,No
7,No,No,No,No,No,No
8,No,No,No,No,No,No
9,No,No,No,Yes,No,No
10,No,No,No,Yes,No,No
11,No,No,No,Yes,No,No
12,No,No,No,Yes,No,No
13,No,No,No,No,No,No
14,No,Yes,No,No,No,No
15,No,No,No,Yes,No,No
17,No,No,No,No,No,No
18,No,Yes,No,No,No,No
19,No,No,No,No,No,No
21,Yes,No,No,No,No,No
23,No,No,No,Yes,No,No
24,No,No,No,No,No,No
25,No,Yes,No,No,No,No
26,Yes,No,No,No,No,No
27,Yes,No,No,No,No,No
29,No,Yes,No,No,No,No
30,Yes,No,No,No,No,No
31,Yes,No,No,No,No,No
33,No,No,No,No,No,No
34,No,No,Yes,No,Yes,No
35,No,No,No,No,Yes,No
36,Yes,No,No,No,No,No
37,No,No,No,No,No,No
38,No,Yes,No,No,No,No
39,No,No,No,No,Yes,No
40,Yes,No,No,No,No,No
42,No,Yes,No,No,No,No
44,No,Yes,No,No,No,No
45,No,No,No,No,No,No
46,No,No,No,No,No,No
47,Yes,No,No,No,No,No
48,No,No,No,No,No,No
49,No,No,No,No,No,No
50,No,No,No,No,No,No
51,No,No,No,No,No,No
52,No,No,No,No,Yes,No
53,Yes,No,No,No,No,No
54,No,No,No,No,No,No
55,No,No,No,No,No,No
56,No,No,Yes,No,No,No
57,No,Yes,No,No,No,No
58,No,No,No,No,Yes,No
59,No,No,No,No,Yes,No
60,No,No,No,No,Yes,No
61,Yes,No,No,No,No,No
62,Yes,No,No,No,No,No
63,No,No,No,No,Yes,No
64,No,No,No,No,Yes,No
65,No,No,No,No,No,No
66,No,No,No,No,No,No
67,Yes,No,No,No,No,No
68,No,No,No,No,Yes,No
69,No,No,No,No,Yes,No
70,No,No,No,No,Yes,No
71,No,No,No,No,Yes,No
72,No,No,No,No,Yes,No
73,No,Yes,No,No,No,No
74,No,No,No,No,Yes,No
76,No,No,No,No,Yes,No
77,No,No,No,No,No,No
78,Yes,No,No,No,No,No
79,No,No,No,No,Yes,No
80,No,No,No,No,Yes,No
81,No,No,No,No,No,No
82,Yes,No,No,No,No,No
83,No,Yes,No,No,No,No
84,No,No,No,No,Yes,No
85,No,No,No,No,No,No
86,No,No,No,Yes,No,No
87,No,Yes,No,No,No,No
88,No,No,No,No,No,No
89,No,No,No,Yes,No,No
90,No,No,No,Yes,No,No
91,No,No,No,Yes,No,No
92,No,No,No,No,No,No
93,No,No,No,No,No,No
94,Yes,No,No,No,No,No
95,No,No,Yes,No,No,No
96,No,No,No,No,No,No
97,No,No,No,No,Yes,No
98,No,No,No,Yes,No,No
99,No,No,No,No,Yes,No
100,No,No,No,No,Yes,No
101,No,No,No,No,No,No
102,No,No,No,Yes,No,No
103,Yes,No,No,No,No,No
105,No,No,No,No,No,No
106,No,No,No,No,No,No
108,No,No,No,No,Yes,No
109,No,No,No,No,No,No
110,No,No,No,No,No,No
111,No,No,No,No,Yes,No
112,No,No,No,No,No,No
113,No,No,Yes,No,No,No
114,No,No,No,No,Yes,No
115,Yes,No,No,No,Yes,No
116,No,No,No,No,Yes,No
117,No,No,No,No,Yes,No
118,No,No,No,No,No,No
119,No,No,Yes,No,No,No
120,No,No,No,Yes,No,No
121,No,No,No,Yes,No,No
122,No,No,No,Yes,No,No
123,No,No,No,Yes,No,No
124,No,No,No,Yes,No,No
125,No,No,No,Yes,No,No
126,No,No,No,No,No,No
127,No,No,No,No,Yes,No
128,No,No,No,Yes,No,No
129,No,No,No,Yes,No,No
130,No,No,No,Yes,No,No
131,No,No,No,Yes,No,No
132,No,No,No,No,No,No
133,Yes,No,No,No,No,No
134,Yes,No,No,No,No,No
135,No,No,No,Yes,No,No
136,Yes,No,No,No,No,No
137,No,No,No,Yes,No,No
138,No,No,No,Yes,No,No
139,No,No,No,No,No,No
140,No,No,No,Yes,No,No
141,No,No,No,Yes,No,No
142,No,No,No,Yes,No,No
143,No,No,No,Yes,No,No
144,No,No,No,Yes,No,No
145,No,No,No,Yes,No,No
146,No,No,No,Yes,No,No
147,No,No,No,No,No,No
148,No,No,No,No,No,No
149,No,No,No,Yes,No,No
150,No,No,No,Yes,No,No
151,No,No,No,Yes,No,No
152,No,No,No,Yes,No,No
153,No,No,No,Yes,No,No
154,No,No,No,Yes,No,No
155,No,No,No,Yes,No,No
156,No,No,No,No,No,No
157,No,No,No,No,No,No
158,No,No,No,No,No,No
159,No,No,No,Yes,No,No
160,No,No,No,Yes,No,No
161,No,No,No,Yes,No,No
162,No,No,No,Yes,No,No
163,No,No,No,Yes,No,No
164,No,No,No,Yes,No,No
165,No,No,No,Yes,No,No
166,No,No,No,Yes,No,No
167,No,No,No,Yes,No,No
168,No,No,No,Yes,No,No
169,No,No,No,No,No,No
170,No,No,No,No,No,No
171,No,No,No,Yes,No,No
172,No,No,No,No,No,No
173,No,No,No,Yes,No,No
174,No,No,No,No,No,No
175,No,No,No,No,No,No
176,No,No,No,Yes,No,No
177,No,No,No,Yes,No,No
178,No,No,No,Yes,No,No
179,No,No,No,Yes,No,No
180,Yes,No,No,No,No,No
181,No,No,No,No,No,No
182,No,No,No,Yes,No,No
183,No,No,No,No,No,No
184,No,No,No,Yes,No,No
185,Yes,No,No,No,No,No
186,No,No,No,No,No,No
187,No,Yes,No,No,No,No
188,No,No,No,No,No,No
190,Yes,No,No,No,No,No
191,No,No,No,No,No,No
192,Yes,No,No,No,Yes,No
193,No,Yes,No,No,No,No
194,No,No,No,No,No,No
195,No,No,No,No,No,No
196,No,No,No,No,No,No
197,No,No,No,No,No,No
198,No,No,No,No,No,No
199,No,No,No,No,Yes,No
200,No,No,No,No,No,No
201,No,No,No,No,No,No
202,No,No,No,No,No,No
203,No,Yes,No,No,No,No
204,No,No,No,No,No,No
205,Yes,No,No,No,No,No
206,No,Yes,No,No,No,No
207,No,No,No,No,Yes,No
208,Yes,No,No,No,Yes,No
209,No,No,No,No,Yes,No
210,No,No,No,No,No,No
211,No,No,No,No,Yes,No
212,No,No,No,No,No,No
213,No,No,No,No,Yes,No
214,No,No,No,No,Yes,No
215,No,No,No,No,No,No
216,No,No,No,No,Yes,No
217,No,No,No,No,Yes,No
218,No,No,No,No,Yes,No
219,No,No,No,No,No,No
220,Yes,No,No,No,No,No
221,No,No,No,No,Yes,No
222,No,No,No,No,No,No
223,No,No,No,No,Yes,No
224,No,No,No,No,Yes,No
225,No,No,No,No,Yes,No
226,No,No,No,No,Yes,No
227,Yes,No,No,No,No,No
228,Yes,No,No,No,Yes,No
229,No,No,No,No,No,No
230,No,No,No,No,Yes,No
231,No,No,No,No,No,No
232,No,No,No,No,No,No
233,No,No,No,No,No,No
234,No,No,No,No,Yes,No
235,No,No,No,No,Yes,No
236,No,No,No,No,Yes,No
237,No,No,No,No,Yes,No
238,No,No,No,No,No,No
239,Yes,No,No,No,No,No
240,No,No,No,No,Yes,No
241,No,No,No,No,No,No
242,No,No,No,No,No,No
243,No,No,No,No,No,No
244,No,No,No,No,No,No
245,No,No,No,No,No,No
246,No,No,No,No,No,No
247,No,No,No,Yes,No,No
248,No,No,No,Yes,No,No
250,No,No,No,No,No,No
251,No,No,No,No,No,No
252,No,No,No,No,No,No
253,No,No,No,Yes,No,No
254,No,No,No,No,No,No
255,No,No,No,No,No,No
256,No,No,No,Yes,No,No
257,No,Yes,No,No,No,No
258,No,No,No,No,No,No
259,No,No,No,No,No,No
260,No,No,No,No,Yes,No
261,No,No,No,No,No,No
262,No,No,No,No,Yes,No
263,No,No,No,Yes,No,No
264,No,No,No,No,No,No
265,No,No,No,No,No,No
266,No,No,No,No,No,No
267,No,No,No,No,No,No
268,No,No,No,No,No,No
269,No,No,No,No,No,No
270,Yes,No,No,No,No,No
271,No,No,No,No,Yes,No
272,No,No,No,No,Yes,No
273,No,No,No,No,No,No
274,Yes,No,No,No,Yes,No
275,No,No,No,Yes,No,No
276,Yes,No,No,No,No,No
277,No,No,No,No,Yes,No
278,Yes,No,No,No,No,No
279,No,No,No,No,No,No
280,Yes,No,No,No,No,No
281,No,No,No,No,No,No
282,No,No,No,No,No,No
283,No,No,No,No,Yes,No
284,No,No,No,No,No,No
285,No,No,No,No,No,No
286,No,No,No,No,Yes,No
287,No,No,No,No,No,No
288,No,No,No,No,Yes,No
289,No,No,No,No,No,No
290,No,No,No,No,Yes,No
291,No,No,No,No,No,No
292,No,No,No,No,Yes,No
293,No,No,No,No,Yes,No
294,No,No,No,No,Yes,No
296,No,No,No,No,Yes,No
297,No,No,No,No,No,No
298,No,No,No,No,Yes,No
299,No,No,No,No,No,No
300,No,No,No,No,No,No
301,Yes,No,No,No,No,No
302,No,No,No,No,No,No
303,No,No,No,No,No,No
304,No,No,No,No,No,No
305,No,No,No,No,No,No
306,No,No,No,No,Yes,No
307,No,No,No,No,Yes,No
308,Yes,No,No,No,Yes,No
309,Yes,No,No,No,No,No
310,No,No,No,No,Yes,No
311,No,No,No,No,Yes,No
312,No,No,No,No,Yes,No
313,No,No,No,No,Yes,No
314,No,No,No,No,Yes,No
