Permutation,Code,N,TP,FP,FN,TN,RunA Yes %,RunB Yes %,McNemar p,Cohen kappa,McNemar p (FDR)
original,GuiltMoreLikely,346,7,48,0,291,2.023121387283237,15.895953757225435,7.105427357601002e-15,0.19698288366695682,5.684341886080802e-14
original,GuiltLessLikely,346,0,15,0,331,0.0,4.335260115606936,0.00006103515625,0.0,0.00011268028846153847
original,NoInformation_Evidence,346,25,52,1,268,7.514450867052023,22.254335260115607,1.199040866595169e-14,0.4203072643358412,7.194245199571014e-14
original,InnocentUntilProvenGuilty,346,19,5,45,277,18.497109826589593,6.9364161849710975,4.209852022540872e-9,0.36805961426066636,1.0103644854098092e-8
original,Confound,346,0,0,3,343,0.8670520231213872,0.0,0.25,0.0,0.2857142857142857
original,Other,346,26,26,47,247,21.09826589595376,15.028901734104046,0.01861775143319464,0.2916596556172528,0.026283884376274786
shuffle_1,GuiltMoreLikely,346,1,19,0,326,0.2890173410404624,5.780346820809249,3.814697265625e-6,0.09022972598948242,7.62939453125e-6
shuffle_1,GuiltLessLikely,346,0,0,0,346,0.0,0.0,1.0,NaN,1.0
shuffle_1,NoInformation_Evidence,346,12,70,1,263,3.7572254335260116,23.699421965317917,6.098637220230962e-20,0.20079380571279848,1.463672932855431e-18
shuffle_1,InnocentUntilProvenGuilty,346,58,19,96,173,44.50867052023121,22.254335260115607,1.446747778667985e-13,0.29211884006404554,5.78699111467194e-13
shuffle_1,Confound,346,0,3,0,343,0.0,0.8670520231213872,0.25,0.0,0.2857142857142857
shuffle_1,Other,346,0,46,0,300,0.0,13.294797687861271,2.842170943040401e-14,0.0,1.3642420526593923e-13
shuffle_2,GuiltMoreLikely,346,25,6,30,285,15.895953757225435,8.959537572254336,0.00006960169412195683,0.5272147574584376,0.00011931718992335455
shuffle_2,GuiltLessLikely,346,4,10,24,308,8.092485549132949,4.046242774566474,0.024306510109454393,0.14431189991271465,0.032408680145939193
shuffle_2,NoInformation_Evidence,346,42,58,1,245,12.427745664739884,28.901734104046245,2.0816681711721685e-16,0.5006115759088018,2.4980018054066022e-15
shuffle_2,InnocentUntilProvenGuilty,346,5,2,17,322,6.358381502890173,2.023121387283237,0.000728607177734375,0.3240797861402427,0.001165771484375
shuffle_2,Confound,346,0,0,4,342,1.1560693641618496,0.0,0.125,0.0,0.15789473684210528
shuffle_2,Other,346,0,39,4,303,1.1560693641618496,11.271676300578035,3.1081526685738936e-8,-0.021419744610737368,6.781424004161223e-8
shuffle_3,GuiltMoreLikely,346,18,11,28,289,13.294797687861271,8.38150289017341,0.009475304279476404,0.42041061764453225,0.014212956419214606
shuffle_3,GuiltLessLikely,346,0,2,0,344,0.0,0.5780346820809248,0.5,0.0,0.529891304347826
shuffle_3,NoInformation_Evidence,346,53,55,5,233,16.76300578034682,31.213872832369944,1.0382663478969434e-11,0.5377215640865769,3.5597703356466626e-11
shuffle_3,InnocentUntilProvenGuilty,346,9,2,38,297,13.583815028901732,3.1791907514450863,1.4933903003111482e-9,0.2728801092781338,3.982374134163062e-9
shuffle_3,Confound,346,0,3,6,337,1.7341040462427744,0.8670520231213872,0.5078125,-0.011695906432748648,0.529891304347826
shuffle_3,Other,346,4,67,12,263,4.624277456647398,20.520231213872833,2.048841172810755e-10,0.017822493711821874,6.146523518432265e-10
