Permutation,Code,TP,FP,FN,TN,Human Yes %,Model Yes %,McNemar p,Cohen kappa,McNemar p (FDR)
original,GuiltMoreLikely,30,6,29,281,17.05,10.4,0.0001168418675661087,0.5768988889665292,0.0002336837351322174
original,GuiltLessLikely,2,8,29,307,8.96,2.89,0.0007528970600105822,0.05631726374760426,0.0011293455900158733
original,NoInformation_Evidence,67,104,19,156,24.86,49.42,2.219868911451849e-15,0.2848596874474878,1.3319213468711094e-14
original,InnocentUntilProvenGuilty,7,11,2,326,2.6,5.2,0.0224609375,0.5012197826569084,0.026953124999999998
original,Confound,0,2,22,322,6.36,0.58,0.000035881996154785156,-0.0107108081791627,0.00010764598846435547
original,Other,62,101,77,106,40.17,47.11,0.08443396247897403,-0.040724593598972625,0.08443396247897403
shuffle_2,GuiltMoreLikely,30,6,29,281,17.05,10.4,0.0001168418675661087,0.5768988889665292,0.0002336837351322174
shuffle_2,GuiltLessLikely,2,8,29,307,8.96,2.89,0.0007528970600105822,0.05631726374760426,0.0011293455900158733
shuffle_2,NoInformation_Evidence,67,104,19,156,24.86,49.42,2.219868911451849e-15,0.2848596874474878,1.3319213468711094e-14
shuffle_2,InnocentUntilProvenGuilty,7,11,2,326,2.6,5.2,0.0224609375,0.5012197826569084,0.026953124999999998
shuffle_2,Confound,0,2,22,322,6.36,0.58,0.000035881996154785156,-0.0107108081791627,0.00010764598846435547
shuffle_2,Other,62,101,77,106,40.17,47.11,0.08443396247897403,-0.040724593598972625,0.08443396247897403
shuffle_1,GuiltMoreLikely,30,6,29,281,17.05,10.4,0.0001168418675661087,0.5768988889665292,0.0002336837351322174
shuffle_1,GuiltLessLikely,2,8,29,307,8.96,2.89,0.0007528970600105822,0.05631726374760426,0.0011293455900158733
shuffle_1,NoInformation_Evidence,67,104,19,156,24.86,49.42,2.219868911451849e-15,0.2848596874474878,1.3319213468711094e-14
shuffle_1,InnocentUntilProvenGuilty,7,11,2,326,2.6,5.2,0.0224609375,0.5012197826569084,0.026953124999999998
shuffle_1,Confound,0,2,22,322,6.36,0.58,0.000035881996154785156,-0.0107108081791627,0.00010764598846435547
shuffle_1,Other,62,101,77,106,40.17,47.11,0.08443396247897403,-0.040724593598972625,0.08443396247897403
shuffle_3,GuiltMoreLikely,30,6,29,281,17.05,10.4,0.0001168418675661087,0.5768988889665292,0.0002336837351322174
shuffle_3,GuiltLessLikely,2,8,29,307,8.96,2.89,0.0007528970600105822,0.05631726374760426,0.0011293455900158733
shuffle_3,NoInformation_Evidence,67,104,19,156,24.86,49.42,2.219868911451849e-15,0.2848596874474878,1.3319213468711094e-14
shuffle_3,InnocentUntilProvenGuilty,7,11,2,326,2.6,5.2,0.0224609375,0.5012197826569084,0.026953124999999998
shuffle_3,Confound,0,2,22,322,6.36,0.58,0.000035881996154785156,-0.0107108081791627,0.00010764598846435547
shuffle_3,Other,62,101,77,106,40.17,47.11,0.08443396247897403,-0.040724593598972625,0.08443396247897403
