Pno,GuiltMoreLikely,GuiltLessLikely,NoInformation_Evidence,InnocentUntilProvenGuilty,Confound,Other
1,No,No,No,Yes,No,No
3,No,No,No,Yes,No,No
4,No,No,No,No,No,No
6,No,No,No,No,No,No
7,No,No,No,No,No,No
8,No,No,No,No,No,No
9,No,No,No,No,No,No
10,No,No,No,No,No,Yes
11,No,No,No,No,No,No
12,No,No,No,No,No,No
13,No,No,No,No,No,No
14,No,No,No,No,No,No
15,No,No,No,No,No,No
17,No,No,No,No,No,No
18,No,No,No,No,No,No
19,No,No,No,No,No,No
21,No,No,No,No,No,No
23,No,No,No,Yes,No,No
24,No,No,No,Yes,No,No
25,No,No,No,No,No,No
26,No,No,No,No,No,No
27,No,No,No,Yes,No,No
29,No,No,No,No,No,No
30,No,No,No,No,No,No
31,No,No,No,No,No,No
33,No,No,No,No,No,No
34,No,No,No,Yes,No,No
35,No,No,Yes,Yes,No,No
36,No,No,No,No,No,No
37,No,No,No,No,No,No
38,No,No,No,Yes,No,No
39,No,No,No,Yes,No,No
40,No,No,No,Yes,No,No
42,No,No,No,No,No,No
44,No,No,No,No,No,No
45,No,No,No,Yes,No,No
46,No,No,No,No,No,No
47,No,No,No,No,No,No
48,No,No,No,No,No,Yes
49,No,No,No,No,No,No
50,No,No,No,No,No,Yes
51,No,No,No,No,No,No
52,No,No,No,No,No,Yes
53,No,No,No,Yes,No,No
54,No,No,No,No,No,No
55,No,No,No,No,No,No
56,No,No,No,No,No,No
57,No,No,No,Yes,No,No
58,No,No,Yes,No,No,No
59,No,No,Yes,No,No,No
60,No,No,No,Yes,No,No
61,No,No,No,No,No,No
62,No,No,No,No,No,No
63,No,No,No,No,No,No
64,No,No,No,No,No,No
65,No,No,No,Yes,No,No
66,No,No,No,No,No,No
67,No,No,No,No,No,No
68,No,No,No,No,No,Yes
69,No,No,Yes,No,No,No
70,No,No,No,No,No,No
71,No,No,No,Yes,No,No
72,No,No,No,Yes,No,No
73,No,No,No,No,No,No
74,No,No,Yes,No,No,No
76,No,No,No,No,No,Yes
77,No,No,No,No,No,No
78,No,No,No,No,No,No
79,No,No,No,Yes,No,No
80,No,No,No,No,No,Yes
81,No,No,No,No,No,Yes
82,No,No,No,Yes,No,No
83,No,No,No,No,No,Yes
84,No,No,No,Yes,No,No
85,No,No,No,Yes,No,No
86,No,No,No,No,No,No
87,No,No,No,Yes,No,No
88,No,No,No,No,No,Yes
89,No,No,No,No,No,Yes
90,No,No,No,No,No,No
91,No,No,No,No,No,No
92,No,No,No,No,No,No
93,No,No,No,No,No,Yes
94,No,No,No,No,No,No
95,No,No,No,No,No,Yes
96,No,No,No,No,No,No
97,No,No,No,No,No,Yes
98,No,No,No,No,No,No
99,No,No,No,No,No,Yes
100,No,No,No,Yes,No,No
101,No,No,No,No,No,No
102,No,No,No,No,No,No
103,No,No,No,Yes,No,No
105,No,No,No,No,No,No
106,No,No,No,No,No,No
108,No,No,No,Yes,No,No
109,No,No,No,No,No,No
110,No,No,No,No,No,No
111,No,No,No,No,No,No
112,No,No,No,No,No,No
113,No,No,No,No,No,No
114,No,No,No,No,No,Yes
115,No,No,No,Yes,No,No
116,No,No,Yes,No,No,No
117,No,No,No,No,No,No
118,No,No,No,Yes,No,No
119,No,No,No,No,No,Yes
120,No,No,No,No,No,Yes
121,No,No,No,No,No,No
122,No,No,No,No,No,No
123,No,No,No,No,No,No
124,No,No,No,No,No,No
125,No,No,No,No,No,Yes
126,No,No,No,No,No,Yes
127,No,No,Yes,No,No,No
128,No,No,No,Yes,No,No
129,No,No,No,No,No,No
130,Yes,No,No,No,No,No
131,No,No,No,No,No,No
132,No,No,No,No,No,No
133,No,No,No,No,No,No
134,No,No,No,No,No,No
135,No,No,No,No,No,No
136,No,No,No,Yes,No,No
137,Yes,No,No,No,No,No
138,No,No,No,No,No,No
139,No,No,No,No,No,No
140,No,No,No,No,No,No
141,No,No,No,No,No,Yes
142,Yes,No,No,No,No,No
143,No,No,No,No,No,No
144,No,No,No,No,No,No
145,No,No,No,No,No,No
146,No,No,No,No,No,Yes
147,No,No,No,No,No,Yes
148,No,No,No,No,No,Yes
149,No,No,No,No,No,Yes
150,No,No,No,No,No,No
151,No,No,No,No,No,No
152,No,No,No,No,No,Yes
153,No,No,No,No,No,No
154,No,No,No,No,No,No
155,No,No,No,No,No,No
156,No,No,No,No,No,Yes
157,No,No,No,No,No,No
158,No,No,No,No,No,Yes
159,No,No,No,No,No,No
160,No,No,No,No,No,No
161,No,No,No,No,No,Yes
162,No,No,No,No,No,No
163,No,No,No,No,No,No
164,No,No,No,No,No,Yes
165,Yes,No,No,No,No,No
166,Yes,No,No,No,No,No
167,No,No,No,No,No,No
168,No,No,No,No,No,Yes
169,No,No,No,No,No,No
170,No,No,No,No,No,Yes
171,No,No,No,No,No,Yes
