Pno,Confound,Other,GuiltMoreLikely,GuiltLessLikely,NoInformation_Evidence,InnocentUntilProvenGuilty
1,No,No,No,No,No,Yes
3,No,No,No,No,No,Yes
4,No,No,No,No,No,Yes
6,No,No,No,No,No,No
7,No,No,No,No,No,No
8,No,No,No,No,No,No
9,No,No,No,No,No,No
10,No,No,No,No,No,No
11,No,No,No,No,No,No
12,No,No,No,No,No,Yes
13,No,No,No,No,No,No
14,No,No,No,No,No,No
15,No,No,No,No,No,No
17,No,No,No,No,No,No
18,No,No,No,No,No,Yes
19,No,No,No,No,No,No
21,No,No,No,No,No,Yes
23,No,No,No,No,No,Yes
24,No,No,No,No,No,Yes
25,No,No,No,No,No,Yes
26,No,No,No,No,No,Yes
27,No,No,No,No,No,Yes
29,No,No,No,No,No,Yes
30,No,No,No,No,No,No
31,No,No,No,No,No,No
33,No,No,No,No,No,No
34,No,No,No,No,No,Yes
35,No,No,No,No,No,Yes
36,No,No,No,No,No,Yes
37,No,No,No,No,No,No
38,No,No,No,No,No,Yes
39,No,No,No,No,No,Yes
40,No,No,No,No,No,Yes
42,No,No,No,No,No,Yes
44,No,No,No,No,No,Yes
45,No,No,No,No,No,Yes
46,No,No,No,No,No,Yes
47,No,No,No,No,No,Yes
48,No,No,No,No,No,No
49,No,No,No,No,No,Yes
50,No,No,No,No,No,No
51,No,No,No,No,No,No
52,No,No,No,No,No,No
53,No,No,No,No,No,Yes
54,No,No,No,No,No,No
55,No,No,No,No,No,Yes
56,No,No,No,No,No,Yes
57,No,No,No,No,No,Yes
58,No,No,No,No,No,No
59,No,No,No,No,Yes,Yes
60,No,No,No,No,No,Yes
61,No,No,No,No,No,Yes
62,No,No,No,No,No,Yes
63,No,No,No,No,No,No
64,No,No,No,No,No,Yes
65,No,No,No,No,No,Yes
66,No,No,No,No,No,Yes
67,No,No,No,No,No,Yes
68,No,No,No,No,No,No
69,No,No,No,No,No,Yes
70,No,No,No,No,No,Yes
71,No,No,No,No,No,No
72,No,No,No,No,No,Yes
73,No,No,No,No,No,No
74,No,No,No,No,No,Yes
76,No,No,No,No,No,No
77,No,No,No,No,No,No
78,No,No,No,No,No,Yes
79,No,No,No,No,No,Yes
80,No,No,No,No,No,Yes
